mer,gcs
1,5041
2,5042
3,5043
4,5044
5,5045
6,5046
7,5047
8,5048
9,5049
10,5050
11,5051
12,5052
13,5053
14,5054
15,5055
16,5056
17,5057
18,5058
19,5059
20,5060
21,5061
22,5062
23,5063
24,5064
25,5065
26,5066
27,5067
28,5068
29,5069
30,5070
31,5071
32,5072
33,5073
34,5074
35,5075
36,5076
37,5077
38,5078
39,5079
40,5080
41,5081
42,5082
43,5083
44,5084
45,5085
46,5086
47,5087
48,5088
49,5089
50,5090
51,5091
52,5092
53,5093
54,5094
55,5095
56,5096
57,5097
58,5098
59,5099
60,5100
61,5101
62,5102
63,5103
64,5104
65,5105
66,5106
67,5107
68,5108
69,5109
70,5110
71,5111
72,5112
73,5113
74,5114
75,5115
76,5116
77,5117
78,5118
79,5119
80,5120
81,5121
82,5122
83,5123
84,5124
85,5125
86,5126
87,5127
88,5128
89,5129
90,5130
91,5131
92,5132
93,5133
94,5134
95,5135
96,5136
97,5137
98,5138
99,5139
100,5140
101,5141
102,5142
103,5143
104,5144
105,5145
106,5146
107,5147
108,5148
109,5149
110,5150
111,5151
112,5152
113,5153
114,5154
115,5155
116,5156
117,5157
118,5158
119,5159
120,5160
121,5161
122,5162
123,5163
124,5164
125,5165
126,5166
127,5167
128,5168
129,5169
130,5170
131,5171
132,5172
133,5173
134,5174
135,5175
136,5176
137,5177
138,5178
139,5179
140,5180
141,5181
142,5182
143,5183
144,5184
145,5185
146,5186
147,5187
148,5188
149,5189
150,5190
151,5191
152,5192
153,5193
154,5194
155,5195
156,5196
157,5197
158,5198
159,5199
160,5200
161,5201
162,5202
163,5203
164,5204
165,5205
166,5206
167,5207
168,5208
169,5209
170,5210
171,5211
172,5212
173,5213
174,5214
175,5215
176,5216
177,5217
178,5218
179,5219
180,5220
181,5221
182,5222
183,5223
351,5391
352,5392
353,5393
354,5394
355,5395
356,5396
357,5397
358,5398
359,5399
360,5400
361,5401
362,5402
363,5403
364,5404
365,5405
366,5406
367,5407
368,5408
369,5409
370,5410
371,5411
372,5412
373,5413
374,5414
375,5415
376,5416
377,5417
378,5418
379,5419
380,5420
381,5421
382,5422
383,5423
384,5424
385,5425
386,5426
387,5427
388,5428
389,5429
390,5430
391,5431
392,5432
393,5433
394,5434
395,5435
396,5436
397,5437
398,5438
399,5439
400,5440
401,5441
402,5442
403,5443
404,5444
405,5445
406,5446
407,5447
408,5448
409,5449
410,5450
411,5451
412,5452
413,5453
414,5454
415,5455
416,5456
417,5457
418,5458
419,5459
420,5460
421,5461
422,5462
423,5463
424,5464
425,5465
426,5466
427,5467
428,5468
429,5469
430,5470
431,5471
432,5472
433,5473
434,5474
435,5475
436,5476
437,5477
438,5478
439,5479
440,5480
441,5481
442,5482
443,5483
444,5484
445,5485
446,5486
447,5487
448,5488
449,5489
450,5490
451,5491
452,5492
453,5493
454,5494
455,5495
456,5496
457,5497
458,5498
459,5499
460,5500
461,5501
