feature,absolute_held,relative_held
bio_vgpm,27956657.541801453,0.30000160546142884
nspp_bivalves,76236.65335446596,0.6356640402033494
nspp_chitons,9253.293348968029,0.5412677058453628
nspp_coastal.fishes,16713075.786650658,0.3000045893309944
nspp_corals,100577.51910585165,0.5234572135794867
nspp_crustaceans,1505008.581267476,0.3570237922474705
nspp_echinoderms,123473.918687284,0.49215873631609564
nspp_euphausiids,27777.321847379208,0.3000071283021663
nspp_gastropods,127832.24362754822,0.5879430751955453
nspp_hydrozoans,86199.83562064171,0.6264435220080825
nspp_non.squid.cephalopods,581285.3821900487,0.3578603105752007
nspp_pinnipeds,74233.22589159012,0.3000015627252572
nspp_reptiles,36935.74688178301,0.6218578102722634
nspp_sea.spiders,399953.06862699986,0.44092112393800603
nspp_seagrasses,99.6272668838501,1
nspp_sharks,721762.8536565304,0.3776772660219048
nspp_sponges,23163.62297898531,0.6612143214742753
nspp_tunas.n.billfishes,469378.3043167591,0.3000024936985098
nspp_tunicates,764321.0365326405,0.38553337734350585
nspp_worms,172517.49841952324,0.5659165522557961
rls_bivalves,195.244309425354,1
rls_coastal.fishes,194379.19135451317,0.339186081047147
rls_corals,5772.058542847633,1
rls_echinoderms,877.3839602470398,1
rls_non.squid.cephalopods,1962,0.9351763584366063
rls_pinnipeds,5812.888961315155,0.3454934516762943
rls_reptiles,73780.53638112545,0.62156639562333
rls_sharks,905558.7947258949,0.3722443108222593
rls_tunas.n.billfishes,402946.19218862057,0.3039402992700124
