feature,absolute_held,relative_held
bio_vgpm,8466884.932573585,0.3168857482749393
nspp_bivalves,11021,0.3904971122843071
nspp_chitons,1120,0.3000267881060809
nspp_coastal.fishes,5918342,0.3000622347260645
nspp_corals,22877,0.3992704679128052
nspp_crustaceans,473919,0.33111388561483474
nspp_echinoderms,30972,0.40369651073369744
nspp_euphausiids,9154,0.45490235054415346
nspp_gastropods,25100,0.3990143867737064
nspp_hydrozoans,14637,0.42704595185995625
nspp_non.squid.cephalopods,169884,0.3037678630180096
nspp_pinnipeds,25290,0.4737551983814769
nspp_reptiles,6357,0.30048213272830404
nspp_sea.spiders,97053,0.4065609068478575
nspp_seagrasses,22,0.7333333333333333
nspp_sharks,222413,0.32411325813878933
nspp_sponges,2994,0.3956653891899035
nspp_tunas.n.billfishes,177942,0.30787997072456696
nspp_tunicates,213744,0.37653989320940784
nspp_worms,38495,0.4476162790697674
rls_bivalves,52,0.8666666666666667
rls_coastal.fishes,62348,0.3212920115019531
rls_corals,1391,0.7613574165298304
rls_echinoderms,212,0.7794117647058824
rls_non.squid.cephalopods,126,0.3
rls_pinnipeds,960,0.3005635566687539
rls_reptiles,12682,0.3000023655761361
rls_sharks,263549,0.30003506399178503
rls_tunas.n.billfishes,153222,0.32764176704422743
phys_seamounts,5308,0.3112283787745529
phys_vents,83,0.3007246376811594
phys_scape.1,14016522.24137887,0.30000009546581924
phys_scape.2,16126525.772166789,0.30000493134423317
phys_scape.3,10921287.930968214,0.3000052750578575
phys_scape.4,9223244.779929008,0.3000111233764721
phys_scape.5,6824863.716889842,0.30000074504038204
phys_scape.6,1603545.9237468184,0.3000580651088104
phys_scape.7,258405.1543958701,0.30052316846796673
phys_scape.8,905161.0663083964,0.3000428508614671
phys_scape.9,411512.0180885628,0.30003785870530225
phys_scape.10,11346.250604319242,0.3191446465769365
phys_scape.11,1964119.1294024542,0.300004934796354
