feature,absolute_held,relative_held
_area_km2,212198694.92354414,1
bio_vgpm,25357245.007019043,1
groups01_nspp_bivalves,28106.79937070608,1
groups01_nspp_bony.fishes,20979674.68233049,1
groups01_nspp_cephalopods,67532.1280812025,1
groups01_nspp_cetaceans,1000924.4880120754,1
groups01_nspp_chitons,3399.345859527588,1
groups01_nspp_corals,60218.93142110109,1
groups01_nspp_crustaceans,1482220.3014645576,1
groups01_nspp_echinoderms,81183.20608824492,1
groups01_nspp_euphausiids,15698.67351424694,1
groups01_nspp_forams,1229.3153703212738,1
groups01_nspp_gastropods,70934.7916919589,1
groups01_nspp_hydrozoans,33554.59593141079,1
groups01_nspp_jellyfish,20623.584018826485,1
groups01_nspp_other,272374.755176425,1
groups01_nspp_pinnipeds,37230.37569093704,1
groups01_nspp_reptiles,25156.88280212879,1
groups01_nspp_sea.spiders,205537.39861881733,1
groups01_nspp_seagrasses,48.83192276954651,1
groups01_nspp_sharks.n.rays,738738.1117829084,1
groups01_nspp_sponges,7603.792963922024,1
groups01_nspp_tunas.n.billfishes,634006.5367004871,1
groups01_nspp_tunicates,515236.8277012706,1
groups01_nspp_worms,199568.31967049837,1
groups01_rls_bivalves,87.7595386505127,1
groups01_rls_bony.fishes,199459.13996430812,1
groups01_rls_cephalopods,300.220521424897,1
groups01_rls_cetaceans,560190.8702223664,1
groups01_rls_corals,2635.47558927536,1
groups01_rls_crustaceans,0,NaN
groups01_rls_echinoderms,410.2781945168972,1
groups01_rls_euphausiids,0,NaN
groups01_rls_gastropods,0,NaN
groups01_rls_hydrozoans,0,NaN
groups01_rls_other,137.94734775088727,1
groups01_rls_pinnipeds,2269.104047117289,1
groups01_rls_reptiles,50279.17161011696,1
groups01_rls_seagrasses,0,NaN
groups01_rls_sharks.n.rays,950172.9415917397,1
groups01_rls_tunas.n.billfishes,496548.5849098861,1
rls_all,2255226.964888215,1
phys_seamounts_0to200m,265,1
phys_seamounts_gt200to800m,16591,1
phys_seamounts_gt800m,115,1
phys_vents,702,1
scapes_hetero,396778.66711348295,1
