feature,absolute_held,relative_held
bio_vgpm,8573628.230496377,0.32088077479354316
nspp_bivalves_2100,20721,0.41740023769715773
nspp_chitons_2100,2373,0.3463727922930959
nspp_coastal.fishes_2100,4634690,0.3009665210631563
nspp_corals_2100,109257,0.49397323446966274
nspp_crustaceans_2100,544426,0.3473167806471369
nspp_echinoderms_2100,43268,0.4298473062518006
nspp_euphausiids_2100,1932,0.5163014430785676
nspp_gastropods_2100,32020,0.3924308159913719
nspp_hydrozoans_2100,31086,0.4072259484384825
nspp_non.squid.cephalopods_2100,179295,0.3200650501711048
nspp_pinnipeds_2100,37553,0.5164480017603212
nspp_reptiles_2100,5307,0.5581028499316437
nspp_sea.spiders_2100,105564,0.40356450632504903
nspp_seagrasses_2100,41,0.82
nspp_sharks_2100,257374,0.31914479402913265
nspp_sponges_2100,8467,0.46898194305970975
nspp_tunas.n.billfishes_2100,168709,0.30000871348117797
nspp_tunicates_2100,235409,0.3971284359406051
nspp_worms_2100,39098,0.4207750836750288
rls_bivalves_2100,66,0.8461538461538461
rls_coastal.fishes_2100,48178,0.3297062768607484
rls_corals_2100,78988,0.5400925818296194
rls_echinoderms_2100,6827,0.4956439668941484
rls_non.squid.cephalopods_2100,138,0.30131004366812225
rls_pinnipeds_2100,4118,0.30003642987249546
rls_reptiles_2100,1173,0.6687571265678449
rls_sharks_2100,339975,0.3000010589051274
rls_tunas.n.billfishes_2100,158174,0.3228614060047396
phys_seamounts,5118,0.3000879507475814
phys_vents,83,0.3007246376811594
phys_scape.1,14016720.707829177,0.300004343306547
phys_scape.2,16126903.517277839,0.30001195861084395
phys_scape.3,10921164.83824684,0.30000189372902825
phys_scape.4,9223141.290103614,0.3000077570884124
phys_scape.5,6824902.984975677,0.300002471148843
phys_scape.6,1603246.0287299566,0.30000194827600707
phys_scape.7,258014.98767162734,0.3000694076268785
phys_scape.8,905125.3408659359,0.3000310085894084
phys_scape.9,411671.5555942466,0.30015417922447174
phys_scape.10,11346.250604319242,0.3191446465769365
phys_scape.11,1964184.7116937593,0.30001495201513273
