feature,absolute_held,relative_held
_area_km2,212198694.92354414,0.22601904987280363
bio_vgpm,7607217.626815796,0.3000017401224017
groups01_2100_nspp_bivalves,24798.8085501194,0.450876342781764
groups01_2100_nspp_bony.fishes,5042025.7904706,0.309478516186344
groups01_2100_nspp_cetaceans,336193.1727397442,0.33196665916001394
groups01_2100_nspp_chitons,3252.956162929535,0.401084515156377
groups01_2100_nspp_corals,91489.8427451849,0.3369476273767205
groups01_2100_nspp_crustaceans,541611.230096221,0.32726376360346054
groups01_2100_nspp_echinoderms,41019.43361920118,0.371985701952306
groups01_2100_nspp_euphausiids,3184.172228395939,0.6945127809612593
groups01_2100_nspp_forams,848.0973477363586,0.34416213343757496
groups01_2100_nspp_gastropods,46855.36812996864,0.5124219200821228
groups01_2100_nspp_hydrozoans,33329.4870223999,0.4052235614007165
groups01_2100_nspp_non.squid.cephalopods,197275.65703487396,0.33682195603598303
groups01_2100_nspp_other,117728.03892958164,0.35888614479878544
groups01_2100_nspp_pinnipeds,15759.109978199005,0.3000113477695184
groups01_2100_nspp_reptiles,4673.587971806526,0.3211997295668627
groups01_2100_nspp_sea.spiders,86293.41542875767,0.3773813084367702
groups01_2100_nspp_seagrasses,75.85394155979156,1
groups01_2100_nspp_sharks.n.rays,277664.7581000328,0.3166462382830292
groups01_2100_nspp_sponges,9045.371288120747,0.4103702095497674
groups01_2100_nspp_tunas.n.billfishes,183829.0847928524,0.3000088515134782
groups01_2100_nspp_tunicates,209309.76150649786,0.39078436761898866
groups01_2100_nspp_worms,96545.1818060875,0.4613792324609013
rls_all_future,820949.7882201672,0.3000007334384889
phys_seamounts_0to200m,146,0.5509433962264151
phys_seamounts_gt200to800m,4979,0.30010246519197153
phys_seamounts_gt800m,57,0.4956521739130435
phys_vents,297,0.4230769230769231
scapes_hetero,119035.59521603584,0.30000502819873226
