feature,absolute_held,relative_held
bio_vgpm,8015961.153351705,0.30000925587760424
nspp_bivalves,13935,0.4937462353399709
nspp_chitons,1282,0.34342351995713905
nspp_coastal.fishes,6416180,0.32530281440387876
nspp_corals,24219,0.4226922875543222
nspp_crustaceans,489499,0.34199919373263366
nspp_echinoderms,33640,0.43847186559090734
nspp_euphausiids,6037,0.30000496943795657
nspp_gastropods,28245,0.44901041252682616
nspp_hydrozoans,15587,0.45476294675419404
nspp_non.squid.cephalopods,194491,0.34776739096227843
nspp_pinnipeds,16015,0.3000074931624892
nspp_reptiles,12104,0.5721308375874457
nspp_sea.spiders,84884,0.3555842273487016
nspp_seagrasses,30,1
nspp_sharks,267523,0.3898501938153945
nspp_sponges,4119,0.5443372538654685
nspp_tunas.n.billfishes,193226,0.3343247531399286
nspp_tunicates,182677,0.3218110359673956
nspp_worms,32949,0.3831279069767442
rls_bivalves,60,1
rls_coastal.fishes,58218,0.3000092757686005
rls_corals,1817,0.9945265462506842
rls_echinoderms,272,1
rls_non.squid.cephalopods,126,0.3
rls_pinnipeds,960,0.3005635566687539
rls_reptiles,24163,0.5715941617580962
rls_sharks,346720,0.3947203646655146
rls_tunas.n.billfishes,141873,0.3033736696810228
phys_seamounts,5117,0.30002931691586043
phys_vents,83,0.3007246376811594
phys_scape.1,14017235.740279874,0.3000153667103355
phys_scape.2,16126355.680664187,0.30000176709855
phys_scape.3,10921324.50040907,0.300006279612012
phys_scape.4,9222920.523574263,0.3000005760565678
phys_scape.5,6825068.422688354,0.3000097432994851
phys_scape.6,1603307.7841658732,0.3000135040514524
phys_scape.7,258439.47690156678,0.3005630852729772
phys_scape.8,905211.4476081537,0.3000595512580837
phys_scape.9,440914.39018984005,0.3214754458919422
phys_scape.10,29504.18823369318,0.8298868106083375
phys_scape.11,1964845.1991953016,0.3001158366849411
