feature,absolute_held,relative_held
_area_km2,69935306.73135418,0.3295746317221795
bio_vgpm,9214729.817565918,0.36339633169988395
groups05_nspp_bony.fishes,6724860.921356201,0.320541715883708
groups05_nspp_cephalopods,215494.5211058855,0.36932310309051275
groups05_nspp_corals,22432.221064329147,0.3725111112893105
groups05_nspp_invertebrates,996967.3336999416,0.36568498010320954
groups05_nspp_marine.mammals,409487.3654677868,0.39467677355516695
groups05_nspp_other,65604.31147742271,0.3294515076498127
groups05_nspp_seagrasses,17.09380042552948,0.3500538061177849
groups05_nspp_sharks.n.rays,233645.51594507694,0.31627651561279935
groups05_nspp_tunas.n.billfishes,190201.9677503109,0.3000000106310651
groups05_rli_bony.fishes,27717.667160093784,0.33397356602859557
groups05_rli_cephalopods,26097.709854483604,0.36851672047260037
groups05_rli_corals,46.842323541641235,0.3070675888764175
groups05_rli_invertebrates,1817.3285405635834,0.39249418602028613
groups05_rli_marine.mammals,21161.658084005117,0.3368280054078429
groups05_rli_other,3717.7020006477833,0.3000033999924507
groups05_rli_seagrasses,10,0.35714285714285715
groups05_rli_sharks.n.rays,17180.103390991688,0.3714230505761197
groups05_rli_tunas.n.billfishes,15422.142811212922,0.3170848102695168
phys_seamounts_0to200m,109,0.41132075471698115
phys_seamounts_gt200to800m,6086,0.366825387258152
phys_seamounts_gt800m,36,0.3130434782608696
phys_vents,368,0.5242165242165242
scapes_hetero,132159.51305699348,0.3330811961702428
