feature,absolute_held,relative_held
_area_km2,78072749.43675804,0.36792285393125485
bio_vgpm,9976389.71012497,0.3934335022343099
groups05_nspp_bony.fishes,6946507.919308662,0.33110656025372753
groups05_nspp_cephalopods,222362.4834653139,0.3810936908413104
groups05_nspp_corals,23004.58905994892,0.3820158962815466
groups05_nspp_invertebrates,1047308.7146247625,0.3841500654270601
groups05_nspp_marine.mammals,431015.9060782194,0.4154266566138797
groups05_nspp_other,74253.20595133305,0.3728844964239497
groups05_nspp_seagrasses,17.09380042552948,0.3500538061177849
groups05_nspp_sharks.n.rays,237691.18011295795,0.3217529680975872
groups05_nspp_tunas.n.billfishes,190201.9677503109,0.3000000106310651
groups05_rli_bony.fishes,30524.33960568905,0.36779150604193106
groups05_rli_cephalopods,27863.709854483604,0.3934537947210063
groups05_rli_corals,46.842323541641235,0.3070675888764175
groups05_rli_invertebrates,1870.3285405635834,0.40394076345235796
groups05_rli_marine.mammals,23095.149449139833,0.36760319501757677
groups05_rli_other,3717.7020006477833,0.3000033999924507
groups05_rli_seagrasses,10,0.35714285714285715
groups05_rli_sharks.n.rays,18077.277299761772,0.3908193872866086
groups05_rli_tunas.n.billfishes,15422.142811212922,0.3170848102695168
phys_seamounts_0to200m,114,0.43018867924528303
phys_seamounts_gt200to800m,6596,0.39756494484961724
phys_seamounts_gt800m,39,0.3391304347826087
phys_vents,368,0.5242165242165242
scapes_hetero,143585.8807361126,0.361879033922571
Arctic,405,0.3002223869532987
Indian,5990,0.32066381156316914
N_Atlantic,4576,0.5002733136547501
N_Pacific,5411,0.3000277238702523
S_Atlantic,4652,0.38731163100491217
S_Pacific,8551,0.42204234736686247
Southern,1510,0.30007949125596184
