feature,absolute_held,relative_held
_area_km2,212198694.92354414,0.25494882565225113
bio_vgpm,7607302.288101196,0.300005078863869
nspp_bivalves,16895.642578542233,0.6011229651481228
nspp_chitons,1755.0632306337357,0.516294399910705
nspp_coastal.fishes,6294037.604002476,0.3000064442993219
nspp_corals,29154.5502474308,0.48414260365329004
nspp_crustaceans,503110.99675405025,0.33943064756091557
nspp_echinoderms,32916.8123754859,0.40546332131433466
nspp_euphausiids,4709.779635429382,0.3000113118573451
nspp_gastropods,37006.1654163003,0.5216927340394978
nspp_hydrozoans,19242.95347249508,0.5734819013118129
nspp_non.squid.cephalopods,196204.83708119392,0.33626367343506425
nspp_pinnipeds,11169.9258852005,0.30002184178655994
nspp_reptiles,8774.066747665405,0.3487740041831788
nspp_sea.spiders,81519.29249858856,0.39661537533503316
nspp_seagrasses,47.83192276954651,0.9795215927761165
nspp_sharks,234677.4171885252,0.31767335872538466
nspp_sponges,4881.674127519131,0.6420051348953577
nspp_tunas.n.billfishes,190204.1185028553,0.3000034029502604
nspp_tunicates,191679.34398025274,0.37269953520112215
nspp_worms,44908.930544734,0.5156758126890103
rls_bivalves,87.7595386505127,1
rls_coastal.fishes,69221.2257847786,0.34502747042290727
rls_corals,2628.3046159744263,0.9972790591079216
rls_echinoderms,416.4131534099579,1
rls_non.squid.cephalopods,110,0.3005464480874317
rls_pinnipeds,704.5234208106995,0.3007540563103008
rls_reptiles,17508.15873336792,0.34821891794742704
rls_sharks,294493.444709301,0.30981846029403465
rls_tunas.n.billfishes,162572.42985498905,0.3273976692966315
fish_profits_inverse,19347.56232963518,0.3000105966313621
phys_seamounts_0to200m,196,0.7396226415094339
phys_seamounts_gt200to800m,5070,0.3055873666445663
phys_seamounts_gt800m,77,0.6695652173913044
phys_vents,297,0.4230769230769231
scapes_hetero,119037.90058755875,0.300010838419175
