feature,absolute_held,relative_held
bio_vgpm,11475499.990909478,0.4294876368826577
nspp_bivalves_2100,16205,0.32643071530729406
nspp_chitons_2100,2668,0.389432199678879
nspp_coastal.fishes_2100,5357902,0.34793030928440244
nspp_corals_2100,71805,0.3246450854507641
nspp_crustaceans_2100,550452,0.35116106971521893
nspp_echinoderms_2100,31938,0.3172890650612464
nspp_euphausiids_2100,1140,0.30464991982896844
nspp_gastropods_2100,24484,0.30007108365811214
nspp_hydrozoans_2100,32745,0.4289588136658981
nspp_non.squid.cephalopods_2100,196288,0.3503997800718694
nspp_pinnipeds_2100,44183,0.6076271419534065
nspp_reptiles_2100,2958,0.3110737196340309
nspp_sea.spiders_2100,143761,0.5495892254347635
nspp_seagrasses_2100,18,0.36
nspp_sharks_2100,255910,0.3173294281473472
nspp_sponges_2100,6430,0.356153760939404
nspp_tunas.n.billfishes_2100,168705,0.3000016004353184
nspp_tunicates_2100,310964,0.5245876196485024
nspp_worms_2100,35197,0.37879228144943444
rls_bivalves_2100,24,0.3076923076923077
rls_coastal.fishes_2100,58206,0.3983329227231666
rls_corals_2100,44815,0.3064294456714234
rls_echinoderms_2100,4136,0.3002758820967039
rls_non.squid.cephalopods_2100,138,0.30131004366812225
rls_pinnipeds_2100,7906,0.5760291438979963
rls_reptiles_2100,527,0.30045610034207526
rls_sharks_2100,353951,0.3123337739555225
rls_tunas.n.billfishes_2100,161345,0.32933398378895845
phys_seamounts,7071,0.4145998240985048
phys_vents,101,0.36594202898550726
phys_scape.1,14016987.024237864,0.30001004336157167
phys_scape.2,22888657.549930178,0.4258021990502077
phys_scape.3,10921375.927218597,0.3000076922946768
phys_scape.4,16422943.485109843,0.5342009066958799
phys_scape.5,6824858.97414863,0.3000005365635602
phys_scape.6,1603293.8912872772,0.3000109043939006
phys_scape.7,258255.00332947215,0.30034854395504534
phys_scape.8,905380.5667331269,0.30011561087695254
phys_scape.9,411640.435916175,0.3001314895309469
phys_scape.10,11603.27489786699,0.326374164960283
phys_scape.11,2695555.741359373,0.4117265660319096
