feature,absolute_held,relative_held
bio_vgpm,6401794.418470494,0.23959666757662315
nspp_bivalves_2100,7496,0.15099812662409604
nspp_chitons_2100,990,0.1445044519048314
nspp_coastal.fishes_2100,2180691,0.14160925192056759
nspp_corals_2100,27277,0.12332489375169545
nspp_crustaceans_2100,231179,0.14748073389813207
nspp_echinoderms_2100,13621,0.1353182527146107
nspp_euphausiids_2100,375,0.10021378941742384
nspp_gastropods_2100,10020,0.12280314729024193
nspp_hydrozoans_2100,16651,0.21812775099559842
nspp_non.squid.cephalopods_2100,79468,0.14186078477925965
nspp_pinnipeds_2100,36037,0.49559919685342574
nspp_reptiles_2100,957,0.10064149752865706
nspp_sea.spiders_2100,90046,0.344240172185076
nspp_seagrasses_2100,10,0.2
nspp_sharks_2100,86827,0.10766582883728543
nspp_sponges_2100,3115,0.17253794173036446
nspp_tunas.n.billfishes_2100,56235,0.10000053347843947
nspp_tunicates_2100,199560,0.33665216995232616
nspp_worms_2100,16437,0.17689600619894746
rls_bivalves_2100,12,0.15384615384615385
rls_coastal.fishes_2100,22800,0.1560318633489365
rls_corals_2100,14685,0.1004109429808067
rls_echinoderms_2100,1419,0.10302018295339045
rls_non.squid.cephalopods_2100,46,0.10043668122270742
rls_pinnipeds_2100,4958,0.36123861566484516
rls_reptiles_2100,187,0.10661345496009123
rls_sharks_2100,123334,0.10883250415179052
rls_tunas.n.billfishes_2100,65521,0.13374007221690382
phys_seamounts,4497,0.2636763412489006
phys_vents,40,0.14492753623188406
phys_scape.1,4673140.635887265,0.10002071931599656
phys_scape.2,16968526.12117347,0.31566882947482416
phys_scape.3,3640525.667831105,0.10000440527127788
phys_scape.4,12083125.294932317,0.39303651590381106
phys_scape.5,3995973.464948963,0.17565112892724377
phys_scape.6,686554.2458640452,0.12846912305751332
phys_scape.7,86161.51683613048,0.10020516850810089
phys_scape.8,301921.6562204997,0.10008101081796851
phys_scape.9,138338.32270437034,0.10086396580565862
phys_scape.10,5545.247801458698,0.15597541527104772
phys_scape.11,1444964.8769775017,0.22070789251593925
