feature,absolute_held,relative_held
_area_km2,212198694.92354414,0.583801692007336
bio_vgpm,13787599.127693176,0.5437341132239202
nspp_bivalves_2100,26439.683839678764,0.4807097054621631
nspp_bivalves,15872.003592669964,0.5647033439606908
nspp_chitons_2100,4034.280231118202,0.49742057668732603
nspp_chitons,2311.2335315942764,0.6799053780057178
nspp_coastal.fishes_2100,7356173.839811444,0.45152045216753256
nspp_coastal.fishes,9606285.288438201,0.45788533110710294
nspp_corals_2100,103007.5924603343,0.37936630821375517
nspp_corals,30055.399223446846,0.49910216794240964
nspp_crustaceans_2100,758592.7212603092,0.45837289776605
nspp_crustaceans,712906.8969811201,0.4809722929018773
nspp_echinoderms_2100,52842.79595428705,0.47920614235338005
nspp_echinoderms,42365.7937284112,0.5218541588805968
nspp_euphausiids_2100,1666.939082801342,0.3635828765055778
nspp_euphausiids,13216.787806749344,0.8419047504080378
nspp_gastropods_2100,45417.55636656284,0.4966976542418161
nspp_gastropods,35995.97883486748,0.5074516746476602
nspp_hydrozoans_2100,42858.152383208275,0.5210741207059759
nspp_hydrozoans,19680.058461785316,0.5865085814775859
nspp_non.squid.cephalopods_2100,283812.3115017414,0.4845717882476059
nspp_non.squid.cephalopods,283414.084092021,0.4857263584209147
nspp_pinnipeds_2100,48114.333473443985,0.9159683543276875
nspp_pinnipeds,35379.892459869385,0.9502964126274418
nspp_reptiles_2100,5089.012099981308,0.3497504102067121
nspp_reptiles,8378.540437698364,0.3330516146853205
nspp_sea.spiders_2100,146076.06453496218,0.6388248291204731
nspp_sea.spiders,133041.9846329689,0.6472884522573142
nspp_seagrasses_2100,22.841036200523376,0.30111864632003366
nspp_seagrasses,14.756867170333862,0.3021971352628535
nspp_sharks_2100,363917.2882937193,0.4150077999558463
nspp_sharks,309264.14318966866,0.4186384027802149
nspp_sponges_2100,9575.198593199253,0.43440740330164784
nspp_sponges,4176.035431921482,0.5492042526322929
nspp_tunas.n.billfishes_2100,268796.77492272854,0.4386760224910295
nspp_tunas.n.billfishes,269657.2857720852,0.4253225639840284
nspp_tunicates_2100,345975.8438991904,0.6459419302591572
nspp_tunicates,331516.5720997453,0.6445977420799885
nspp_worms_2100,51634.70132780075,0.5468318997451816
nspp_worms,47533.09024107456,0.5458082533332652
rls_bivalves_2100,38.759538650512695,0.37355157082053175
rls_bivalves,38.759538650512695,0.44165613500847933
rls_coastal.fishes_2100,75042.32935166359,0.493416020570892
rls_coastal.fishes,101144.03316521645,0.5041440615320488
rls_corals_2100,74209.39079022408,0.3407167900681533
rls_corals,984.0941452980042,0.3734028686521004
rls_echinoderms_2100,7675.667163133621,0.3537501362435495
rls_echinoderms,150.6622428894043,0.36180951935751565
rls_non.squid.cephalopods_2100,122,0.3177083333333333
rls_non.squid.cephalopods,114,0.3114754098360656
rls_pinnipeds_2100,9424.744799852371,0.7911423148198831
rls_pinnipeds,2078.5234208106995,0.8873010200646638
rls_reptiles_2100,895.0654036998749,0.37961728789491916
rls_reptiles,16745.939391851425,0.3330591745167472
rls_sharks_2100,521719.8207690716,0.42104593770243415
rls_sharks,399331.28828942776,0.42011191456974495
rls_tunas.n.billfishes_2100,256836.00729072094,0.494778882879812
rls_tunas.n.billfishes,249848.4129742384,0.5031590421462697
phys_seamounts_0to200m,151,0.569811320754717
phys_seamounts_gt200to800m,11002,0.6631306129829425
phys_seamounts_gt800m,67,0.5826086956521739
phys_vents,368,0.5242165242165242
scapes_hetero,225828.40070098639,0.5691545927704753
