feature,absolute_held,relative_held
bio_vgpm,8015715.018463135,0.30000004392764296
nspp_bivalves,17942,0.6357226375651065
nspp_chitons,1841,0.4931690329493705
nspp_coastal.fishes,5917189,0.30000377717889354
nspp_corals,30280,0.5284744401975671
nspp_crustaceans,502710,0.35122934813213563
nspp_echinoderms,38289,0.4990680517720051
nspp_euphausiids,6037,0.30000496943795657
nspp_gastropods,37546,0.5968682934583897
nspp_hydrozoans,21056,0.6143253099927061
nspp_non.squid.cephalopods,189916,0.3395868797116169
nspp_pinnipeds,16015,0.3000074931624892
nspp_reptiles,12165,0.5750141803743619
nspp_sea.spiders,101608,0.425642078276788
nspp_seagrasses,30,1
nspp_sharks,252594,0.3680947800996765
nspp_sponges,5089,0.6725254394079556
nspp_tunas.n.billfishes,173394,0.3000109004271929
nspp_tunicates,208913,0.3680294123346481
nspp_worms,48258,0.5611395348837209
rls_bivalves,60,1
rls_coastal.fishes,61485,0.31684479577849467
rls_corals,1826,0.9994526546250684
rls_echinoderms,272,1
rls_non.squid.cephalopods,284,0.6761904761904762
rls_pinnipeds,960,0.3005635566687539
rls_reptiles,24291,0.5746220992122631
rls_sharks,322108,0.36670104759367667
rls_tunas.n.billfishes,140298,0.3000057735362482
