feature,absolute_held,relative_held
_area_km2,212198694.92354414,0.29386499437969593
bio_vgpm,7641880.165519714,0.30136870797298343
nspp_bivalves,8433.105437397957,0.300037913466136
nspp_chitons,1020.9646986722946,0.30034151888686594
nspp_coastal.fishes,6293999.723992944,0.3000046387417951
nspp_corals,18845.04441422224,0.3129421922558197
nspp_crustaceans,461012.5571093559,0.3110283651180846
nspp_echinoderms,27054.845363020897,0.33325667544606075
nspp_euphausiids,5219.379151463509,0.33247262239875175
nspp_gastropods,21960.87078177929,0.3095923771390838
nspp_hydrozoans,10660.964403152466,0.3177199458740205
nspp_non.squid.cephalopods,175059.18130648136,0.30002340538776967
nspp_pinnipeds,11569.806340575218,0.31076254606239834
nspp_reptiles,7724.205576658249,0.3070414421934907
nspp_sea.spiders,62356.658732414246,0.3033835163402977
nspp_seagrasses,14.763206005096436,0.3023269445024464
nspp_sharks,228908.50243079662,0.3098642113892528
nspp_sponges,2463.6848989725113,0.32400736193923757
nspp_tunas.n.billfishes,199281.02902019024,0.31432014890145077
nspp_tunicates,154294.0135113597,0.30000784605107866
nspp_worms,27216.664594888687,0.31252081631454415
rls_bivalves,39.25059461593628,0.4472516061444333
rls_coastal.fishes,60505.79157757759,0.30158611000121593
rls_corals,950.7724814414978,0.36075935793543756
rls_echinoderms,145.37437915802002,0.34911092017042805
rls_non.squid.cephalopods,110,0.3005464480874317
rls_pinnipeds,704,0.30053061316089635
rls_reptiles,15434.206410884857,0.3069701810238109
rls_sharks,293851.8102976084,0.3091434361497841
rls_tunas.n.billfishes,160309.23490345478,0.3228399176965776
phys_seamounts_0to200m,81,0.30566037735849055
phys_seamounts_gt200to800m,4978,0.30004219154963535
phys_seamounts_gt800m,48,0.41739130434782606
phys_vents,297,0.4230769230769231
phys_scape.class_1,5571,0.3
phys_scape.class_10,4,0.3333333333333333
phys_scape.class_11,782,0.30007674597083656
phys_scape.class_2,6477,0.300013895965538
phys_scape.class_3,4346,0.30001380643379816
phys_scape.class_4,3729,0.3000482780817509
phys_scape.class_5,2672,0.3000561482313307
phys_scape.class_6,626,0.30038387715930903
phys_scape.class_7,106,0.301994301994302
phys_scape.class_8,363,0.3
phys_scape.class_9,160,0.3007518796992481
