feature,absolute_held,relative_held
_area_km2,212198694.92354414,0.26224930485712594
bio_vgpm,7607494.214042664,0.3000126477437459
nspp_bivalves,12195.569995880127,0.43390105842470233
nspp_chitons,1340.8128144741058,0.39443259670566166
nspp_coastal.fishes,6649478.838408709,0.3169486152237163
nspp_corals,23247.056795716286,0.3860423333179634
nspp_crustaceans,501853.8678714037,0.33858250853502014
nspp_echinoderms,32896.565811514854,0.4052139278135528
nspp_euphausiids,4710.210977435112,0.3000387881919117
nspp_gastropods,29254.249732255936,0.41241045521491493
nspp_hydrozoans,14057.319800972939,0.418938729874966
nspp_non.squid.cephalopods,190742.8315062523,0.3269026704838851
nspp_pinnipeds,11442.32853603363,0.3073385192516074
nspp_reptiles,11345.574730277061,0.45099286821485657
nspp_sea.spiders,75786.58502411842,0.36872406449334144
nspp_seagrasses,33.2943434715271,0.6818151238617773
nspp_sharks,257730.33592176437,0.34887916544571496
nspp_sponges,3897.2566528320312,0.5125411319486838
nspp_tunas.n.billfishes,190204.85191833973,0.3000045597450913
nspp_tunicates,171147.59662264585,0.332777796436014
nspp_worms,36132.656796097755,0.4149004870953371
rls_bivalves,67.84306502342224,0.7730563089397678
rls_coastal.fishes,60189.481390714645,0.30000948805606803
rls_corals,1833.5908524990082,0.6957343334768527
rls_echinoderms,275.7033727169037,0.6620909317085724
rls_non.squid.cephalopods,110,0.3005464480874317
rls_pinnipeds,704,0.30053061316089635
rls_reptiles,22657.909238815308,0.45064205541238833
rls_sharks,332763.5815076828,0.3500801200054104
rls_tunas.n.billfishes,148988.4755538702,0.3000415242111136
phys_seamounts_0to200m,119,0.4490566037735849
phys_seamounts_gt200to800m,6584,0.3968416611415828
phys_seamounts_gt800m,55,0.4782608695652174
phys_vents,702,1
phys_scape.1,5571,0.3
phys_scape.2,6477,0.300013895965538
phys_scape.3,4346,0.30001380643379816
phys_scape.4,3729,0.3000482780817509
phys_scape.6,626,0.30038387715930903
phys_scape.7,106,0.301994301994302
phys_scape.8,363,0.3
phys_scape.9,160,0.3007518796992481
phys_scape.10,4,0.3333333333333333
phys_scape.11,782,0.30007674597083656
