feature,absolute_held,relative_held
_area_km2,212198694.92354414,0.2299591788439922
bio_vgpm,7607839.9426727295,0.30002628205733045
nspp_bivalves,17050.98685222864,0.6066498937619982
nspp_chitons,1583.2650886774063,0.4657558112952458
nspp_coastal.fishes,6294159.628310204,0.3000122606100882
nspp_corals,30845.582177639008,0.5122240041415036
nspp_crustaceans,511919.96153748035,0.34537373495131635
nspp_echinoderms,39651.60296243429,0.4884212495788057
nspp_euphausiids,4711.157248973846,0.3000990653572324
nspp_gastropods,40525.661478698254,0.5713086697242279
nspp_hydrozoans,19574.255637407303,0.5833554270007957
nspp_non.squid.cephalopods,193599.6834424734,0.3317988572488233
nspp_pinnipeds,11170.069865226746,0.300025709059548
nspp_reptiles,12915.656931519508,0.5134045037736781
nspp_sea.spiders,83053.98527443409,0.4040821078428806
nspp_seagrasses,47.83192276954651,0.9795215927761165
nspp_sharks,265679.6041556597,0.35963976938248776
nspp_sponges,4903.850368320942,0.6449216057812737
nspp_tunas.n.billfishes,190204.16706252098,0.30000347954200335
nspp_tunicates,178501.5933097005,0.34707683925524563
nspp_worms,46835.406584739685,0.5377969606545863
rls_bivalves,87.7595386505127,1
rls_coastal.fishes,62490.12743473053,0.3114768678359826
rls_corals,2628.3046159744263,0.9972790591079216
rls_echinoderms,416.4131534099579,1
rls_non.squid.cephalopods,114,0.3114754098360656
rls_pinnipeds,704.5234208106995,0.3007540563103008
rls_reptiles,25794.339101076126,0.5130223564758553
rls_sharks,342288.10613024235,0.3601002871996475
rls_tunas.n.billfishes,148973.83192574978,0.3000120340342063
phys_seamounts_0to200m,183,0.690566037735849
phys_seamounts_gt200to800m,4979,0.30010246519197153
phys_seamounts_gt800m,83,0.7217391304347827
phys_vents,368,0.5242165242165242
