feature,absolute_held,relative_held
bio_vgpm,3064399.137895659,0.11468969066643277
nspp_bivalves,6282,0.2225844169648868
nspp_chitons,472,0.12643986070184837
nspp_coastal.fishes,1972637,0.10001346095296956
nspp_corals,11227,0.19594394121856293
nspp_crustaceans,182165,0.12727356567900078
nspp_echinoderms,15268,0.19900679083953546
nspp_euphausiids,3668,0.1822789842468817
nspp_gastropods,12000,0.19076385025037756
nspp_hydrozoans,7791,0.22730853391684902
nspp_non.squid.cephalopods,58345,0.10432610468193457
nspp_pinnipeds,12310,0.2306020756060095
nspp_reptiles,2133,0.10082246171298923
nspp_sea.spiders,43333,0.18152456674639844
nspp_seagrasses,19,0.6333333333333333
nspp_sharks,80765,0.11769549124187578
nspp_sponges,2030,0.2682701202590194
nspp_tunas.n.billfishes,57804,0.10001401483496235
nspp_tunicates,82465,0.14527360905341818
nspp_worms,18174,0.21132558139534885
rls_bivalves,50,0.8333333333333334
rls_coastal.fishes,21222,0.1093613117998083
rls_corals,1254,0.6863711001642037
rls_echinoderms,186,0.6838235294117647
rls_non.squid.cephalopods,42,0.1
rls_pinnipeds,320,0.10018785222291797
rls_reptiles,4229,0.10004021479431316
rls_sharks,87860,0.10002345189060945
rls_tunas.n.billfishes,52570,0.11241288909892205
phys_seamounts,1754,0.10284374083846379
phys_vents,28,0.10144927536231885
phys_scape.1,4673208.9581691995,0.10002218163958508
phys_scape.2,5375438.889895584,0.10000034712322084
phys_scape.3,3640553.981776249,0.1000051830488582
phys_scape.4,3074348.7005031863,0.10000155360682701
phys_scape.5,2274964.1558109517,0.10000066960962953
phys_scape.6,534844.3655882997,0.10008092883164166
phys_scape.7,86167.43177881776,0.10021204754006852
phys_scape.8,302127.75492195296,0.10014932842932478
phys_scape.9,138122.0580296566,0.10070628489462202
phys_scape.10,5313.833289359878,0.14946624274770884
phys_scape.11,655157.7451585325,0.10007058822211493
