feature,absolute_held,relative_held
_area_km2,50255801.66348766,0.23683369816008992
bio_vgpm,7607225.233062744,0.30000204008586173
nspp_bivalves,18148.782155573368,0.6457078913968655
nspp_chitons,1794.9811917543411,0.528037235965096
nspp_coastal.fishes,6294323.213598728,0.3000200579325444
nspp_corals,31795.230650246143,0.5279939364567484
nspp_crustaceans,507164.8680820465,0.34216564675367434
nspp_echinoderms,33958.43625253439,0.41829385520475854
nspp_euphausiids,4709.908103108406,0.3000194952034671
nspp_gastropods,41870.695084154606,0.5902702198095131
nspp_hydrozoans,21107.807232499123,0.6290586027513416
nspp_non.squid.cephalopods,195294.48558449745,0.3347034767398646
nspp_pinnipeds,11169.683921813965,0.3000153427012823
nspp_reptiles,11747.6752897501,0.46697658776531736
nspp_sea.spiders,86853.22388744354,0.4225665230322321
nspp_seagrasses,48.83192276954651,1
nspp_sharks,254472.13554167747,0.34446867094418804
nspp_sponges,5290.1721648573875,0.6957280649220525
nspp_tunas.n.billfishes,190208.79746294022,0.3000107829373963
nspp_tunicates,199529.27972847223,0.38796287732222984
nspp_worms,48038.21916437149,0.5516084976248633
rls_bivalves,87.7595386505127,1
rls_coastal.fishes,67711.85920453072,0.33750415763525193
rls_corals,2635.47558927536,1
rls_echinoderms,416.4131534099579,1
rls_non.squid.cephalopods,110,0.3005464480874317
rls_pinnipeds,703.5234208106995,0.3003271662347881
rls_reptiles,23460.756585359573,0.46660984726007104
rls_sharks,323436.40020656586,0.3402675655954205
rls_tunas.n.billfishes,148970.67874658108,0.30000568398142285
phys_seamounts_0to200m,194,0.7320754716981132
phys_seamounts_gt200to800m,5200,0.31342294014827315
phys_seamounts_gt800m,89,0.7739130434782608
phys_vents,497,0.707977207977208
scapes_hetero,119034.58499979973,0.3000024821539979
