feature,absolute_held,relative_held
_area_km2,62578717.05939081,0.2949062296633734
bio_vgpm,7607313.276138306,0.3000055121931643
groups05_nspp_bony.fishes,6968607.7396758795,0.3321599522010217
groups05_nspp_cephalopods,179289.1958372593,0.3072729729619599
groups05_nspp_corals,20946.11662399769,0.347832751755838
groups05_nspp_invertebrates,898938.4689235687,0.32972825187997845
groups05_nspp_marine.mammals,339202.9809086323,0.3269344780207767
groups05_nspp_other,74992.02687215805,0.3765947048045801
groups05_nspp_seagrasses,16.724998593330383,0.34250133201309746
groups05_nspp_sharks.n.rays,252957.40486383438,0.34241824109133073
groups05_nspp_tunas.n.billfishes,196289.00500237942,0.30960091677273804
groups05_rli_bony.fishes,24898.549733638763,0.3000056749168187
groups05_rli_cephalopods,22250,0.31418454248416283
groups05_rli_corals,95.15143185853958,0.6237504579158364
groups05_rli_invertebrates,1517.775718152523,0.3277988166481377
groups05_rli_marine.mammals,19327.519393324852,0.30763420242838085
groups05_rli_other,5889.6822029054165,0.4752733504295873
groups05_rli_seagrasses,10,0.35714285714285715
groups05_rli_sharks.n.rays,13877.450371563435,0.3000217655225222
groups05_rli_tunas.n.billfishes,14593.013387090527,0.30003761071009016
phys_seamounts_0to200m,93,0.35094339622641507
phys_seamounts_gt200to800m,4978,0.30004219154963535
phys_seamounts_gt800m,50,0.43478260869565216
phys_vents,502,0.7150997150997151
scapes_hetero,119036.77664208412,0.3000080057430062
