feature,absolute_held,relative_held
_area_km2,46770836.999772586,0.22041057800390462
bio_vgpm,7607196.249237061,0.30000089706635485
groups05_nspp_bony.fishes,6294065.581104279,0.3000077778329551
groups05_nspp_cephalopods,202249.66172671318,0.3466235349492427
groups05_nspp_corals,31868.37381285429,0.5292085571894989
groups05_nspp_invertebrates,1012796.9646735191,0.3714912468603469
groups05_nspp_marine.mammals,311257.9236946106,0.30000015489350484
groups05_nspp_other,59744.039689183235,0.30002241476865976
groups05_nspp_seagrasses,48.83192276954651,1
groups05_nspp_sharks.n.rays,259387.71362292767,0.35112269082328523
groups05_nspp_tunas.n.billfishes,190210.2597208023,0.30001308931403037
rls_all,695841.8375787735,0.30854625650206535
phys_seamounts_0to200m,153,0.5773584905660377
phys_seamounts_gt200to800m,4978,0.30004219154963535
phys_seamounts_gt800m,56,0.48695652173913045
phys_vents,702,1
scapes_hetero,119036.89364504814,0.3000083006252005
