feature,absolute_held,relative_held
nspp_bivalves,6905,0.24465861177054177
nspp_chitons,523,0.14010179480310742
nspp_coastal.fishes,1972576,0.10001036822931177
nspp_corals,11044,0.1927500567219924
nspp_crustaceans,172310,0.12038815415776151
nspp_echinoderms,12417,0.16184616988829656
nspp_euphausiids,4204,0.2089151716940814
nspp_gastropods,13058,0.20758286304745252
nspp_hydrozoans,7187,0.20968636032093363
nspp_non.squid.cephalopods,57991,0.1036931208605719
nspp_pinnipeds,10543,0.19750103030984226
nspp_reptiles,3693,0.17456040839478162
nspp_sea.spiders,35179,0.14736696590523507
nspp_seagrasses,19,0.6333333333333333
nspp_sharks,82984,0.12092914808661945
nspp_sponges,2273,0.3003832430289415
nspp_tunas.n.billfishes,57802,0.10001055438188522
nspp_tunicates,72623,0.1279355521771223
nspp_worms,15165,0.17633720930232558
rls_bivalves,50,0.8333333333333334
rls_coastal.fishes,19409,0.10001855153720099
rls_corals,1250,0.6841817186644773
rls_echinoderms,186,0.6838235294117647
rls_non.squid.cephalopods,42,0.1
rls_pinnipeds,764,0.23919849718221667
rls_reptiles,7333,0.173467698057862
rls_sharks,98115,0.11169816733720858
rls_tunas.n.billfishes,46771,0.10001261624587567
seamounts_count,1709,0.10020521841102316
vents_count,29,0.10507246376811594
benthscape_1,4672593.894325256,0.10000901713973427
benthscape_2,5375498.8186302185,0.10000146204374165
benthscape_3,3640875.0343704224,0.1000140023454168
benthscape_4,3074315.45438385,0.10000047229671462
benthscape_5,2275175.8755607605,0.10000997630881323
benthscape_6,534697.4776763916,0.1000534430387472
benthscape_7,86273.98593902588,0.10033596875228998
benthscape_8,302510.73013305664,0.10027627731212767
benthscape_9,137405.15157318115,0.10018358086589806
benthscape_10,5313.833251953125,0.14946624307555553
benthscape_11,654696.8281269073,0.1000001865971369
sea_Arctic,1111,0.10004502476362
sea_Indian,1939,0.1000670898487898
sea_N_Atlantic,896,0.10002232641214556
sea_N_Pacific,1695,0.10012996219281664
sea_S_Atlantic,1216,0.10001645007402533
sea_S_Pacific,2091,0.1000382738493924
sea_Southern,2056,0.21874667517821045
