feature,absolute_held,relative_held
bio_vgpm,3152368.306877166,0.11798206751574897
nspp_bivalves,6905,0.24465861177054177
nspp_chitons,522,0.13983391374229842
nspp_coastal.fishes,1972483,0.10000565309324334
nspp_corals,11040,0.19268024503900727
nspp_crustaceans,172239,0.12033854845324522
nspp_echinoderms,12398,0.16159851931022798
nspp_euphausiids,4207,0.2090642548327784
nspp_gastropods,13061,0.2076305540100151
nspp_hydrozoans,7190,0.2097738876732312
nspp_non.squid.cephalopods,58004,0.10371636602915302
nspp_pinnipeds,10541,0.19746356449739613
nspp_reptiles,3689,0.17437133673662317
nspp_sea.spiders,35182,0.14737953308729584
nspp_seagrasses,19,0.6333333333333333
nspp_sharks,82945,0.12087231500102008
nspp_sponges,2272,0.30025109026034097
nspp_tunas.n.billfishes,57810,0.1000243961941937
nspp_tunicates,72599,0.12789327282688545
nspp_worms,15181,0.17652325581395348
rls_bivalves,50,0.8333333333333334
rls_coastal.fishes,19417,0.1000597771754254
rls_corals,1250,0.6841817186644773
rls_echinoderms,186,0.6838235294117647
rls_non.squid.cephalopods,42,0.1
rls_pinnipeds,766,0.2398246712586099
rls_reptiles,7322,0.1732074846828945
rls_sharks,98083,0.11166173721587351
rls_tunas.n.billfishes,46789,0.10005110648753023
phys_seamounts,1710,0.10026385224274406
phys_vents,29,0.10507246376811594
phys_scape.1,4673287.213872983,0.10002385657136927
phys_scape.2,5375528.773342432,0.1000020192426644
phys_scape.3,3640368.084741531,0.10000007649994332
phys_scape.4,3074351.3569972855,0.10000164001652316
phys_scape.5,2275106.4447586085,0.10000692420929316
phys_scape.6,534829.6871584322,0.10007818218048584
phys_scape.7,86264.60601136954,0.10032506041060578
phys_scape.8,301896.0669016034,0.10007252846882753
phys_scape.9,137250.2312227906,0.10007062654979659
phys_scape.10,5313.833289359878,0.14946624274770884
phys_scape.11,655536.4078051419,0.10012842619177026
sea_Arctic,1111,0.10004502476362
sea_Indian,1939,0.1000670898487898
sea_N_Atlantic,896,0.10002232641214556
sea_N_Pacific,1694,0.10007088846880907
sea_S_Atlantic,1218,0.10018095081427866
sea_S_Pacific,2091,0.1000382738493924
sea_Southern,2054,0.21853388658367912
