feature,absolute_held,relative_held
bio_vgpm,8015923.641952548,0.30000785195775825
nspp_bivalves,12478,0.442121673812139
nspp_chitons,1131,0.3029734797749799
nspp_coastal.fishes,6403199,0.3246446726694236
nspp_corals,23545,0.41092901897132483
nspp_crustaceans,482283,0.33695757734123205
nspp_echinoderms,34057,0.44390714406746523
nspp_euphausiids,6037,0.30000496943795657
nspp_gastropods,26082,0.4146252285191956
nspp_hydrozoans,14368,0.4191976659372721
nspp_non.squid.cephalopods,197624,0.35336947659032714
nspp_pinnipeds,16016,0.3000262260687123
nspp_reptiles,11530,0.5449990546417092
nspp_sea.spiders,79628,0.3335665243782387
nspp_seagrasses,28,0.9333333333333333
nspp_sharks,269059,0.3920885430328466
nspp_sponges,3751,0.4957050350204837
nspp_tunas.n.billfishes,183920,0.3182232649720828
nspp_tunicates,184178,0.32445525699679206
nspp_worms,34477,0.4008953488372093
rls_bivalves,56,0.9333333333333333
rls_coastal.fishes,58218,0.3000092757686005
rls_corals,1657,0.9069512862616311
rls_echinoderms,252,0.9264705882352942
rls_non.squid.cephalopods,126,0.3
rls_pinnipeds,959,0.3002504696305573
rls_reptiles,23015,0.5444373477160362
rls_sharks,346473,0.3944391696664595
rls_tunas.n.billfishes,142377,0.3044513964473507
phys_seamounts,5118,0.3000879507475814
phys_vents,85,0.3079710144927536
phys_scape.1,14016559.921023143,0.30000090193526185
phys_scape.2,16127340.158735767,0.30002008153778176
phys_scape.3,10922448.473982805,0.30003715490833943
phys_scape.4,9223856.118035851,0.3000310088112158
phys_scape.5,6825111.219328533,0.3000116245127183
phys_scape.6,1603651.3731985067,0.30007779697802084
phys_scape.7,258083.32785807204,0.30014888672787426
phys_scape.8,905074.0398559695,0.3000140033271901
phys_scape.9,411696.614954937,0.3001724502751132
phys_scape.10,20432.604930618334,0.5747234665120112
phys_scape.11,1964119.858403933,0.3000050461460363
