feature,absolute_held,relative_held
bio_vgpm,8189929.045474991,0.3065202627130951
nspp_bivalves,13402,0.47486092902951493
nspp_chitons,1122,0.3005625502276989
nspp_coastal.fishes,6460347,0.32754209843328197
nspp_corals,21588,0.37677365307084143
nspp_crustaceans,486678,0.34002824031797957
nspp_echinoderms,27961,0.36445041123030203
nspp_euphausiids,6692,0.33255478805347116
nspp_gastropods,25920,0.4120499165408155
nspp_hydrozoans,14313,0.4175929978118162
nspp_non.squid.cephalopods,184823,0.33048013789749237
nspp_pinnipeds,16020,0.30010115769360457
nspp_reptiles,7511,0.35502930610701455
nspp_sea.spiders,77421,0.3243212674422014
nspp_seagrasses,22,0.7333333333333333
nspp_sharks,237410,0.3459677654396549
nspp_sponges,3994,0.5278181577904058
nspp_tunas.n.billfishes,203230,0.3516339394316898
nspp_tunicates,170327,0.3000547869913486
nspp_worms,29311,0.34082558139534885
rls_bivalves,52,0.8666666666666667
rls_coastal.fishes,63344,0.3264246034608923
rls_corals,1359,0.7438423645320197
rls_echinoderms,199,0.7316176470588235
rls_non.squid.cephalopods,150,0.35714285714285715
rls_pinnipeds,960,0.3005635566687539
rls_reptiles,14985,0.3544815839897807
rls_sharks,298829,0.3401992727637029
rls_tunas.n.billfishes,163650,0.34994044704277333
phys_seamounts,5519,0.32360011726766347
phys_vents,83,0.3007246376811594
phys_scape.1,15082572.720223203,0.3228171138329389
phys_scape.2,16127074.105046134,0.3000151320886555
phys_scape.3,10922053.524879025,0.300026305747026
phys_scape.4,9850582.00999879,0.3204169731202288
phys_scape.5,6825834.084661073,0.30004339952645065
phys_scape.6,1603503.3266302622,0.300050094268572
phys_scape.7,258267.26803484815,0.3003628077112329
phys_scape.8,905208.1541722433,0.30005845954972765
phys_scape.9,411814.4311133452,0.30025835130919204
phys_scape.10,20929.698111259226,0.5887055856264128
phys_scape.11,1964449.8533201588,0.30005545047327054
sea_Arctic,3332,0.30004502476362
sea_Indian,5814,0.30004644681839293
sea_N_Atlantic,2688,0.3000669792364367
sea_N_Pacific,5079,0.30003544423440454
sea_S_Atlantic,3648,0.300049350222076
sea_S_Pacific,6271,0.30001913692469623
sea_Southern,2820,0.3000319182891797
