feature,absolute_held,relative_held
_area_km2,212198694.92354414,0.22600721765367096
bio_vgpm,7607191.745422363,0.30000071945184287
nspp_bivalves_2100,24558.412671983242,0.4465056160940369
nspp_chitons_2100,3222.6435862779617,0.39734702085873247
nspp_coastal.fishes_2100,5015588.944010258,0.30785582793459876
nspp_corals_2100,88996.57559001446,0.3277651823408184
nspp_crustaceans_2100,537660.5635846853,0.32487660853823486
nspp_echinoderms_2100,40708.27296334505,0.3691639342003885
nspp_euphausiids_2100,3111.7539951205254,0.6787173449807925
nspp_gastropods_2100,46607.25353693962,0.5097084773916788
nspp_hydrozoans_2100,33027.013602137566,0.4015460563582482
nspp_non.squid.cephalopods_2100,196221.23091220856,0.3350216636204377
nspp_pinnipeds_2100,15760.592810034752,0.3000395769257444
nspp_reptiles_2100,4700.084605813026,0.3230207526713086
nspp_sea.spiders_2100,85899.06696546078,0.3756567302830422
nspp_seagrasses_2100,75.85394155979156,1
nspp_sharks_2100,276349.80886912346,0.3151466827386032
nspp_sponges_2100,8994.790428102016,0.40807545818313706
nspp_tunas.n.billfishes_2100,183840.30134820938,0.30002715691871035
nspp_tunicates_2100,208407.34915989637,0.3890995506488672
nspp_worms_2100,46727.05570292473,0.49485799244415946
rls_bivalves_2100,103.7595386505127,1
rls_coastal.fishes_2100,55203.8141374588,0.3629744242665387
rls_corals_2100,65350.299010396004,0.3000421357959636
rls_echinoderms_2100,6510.612998008728,0.30005603241065365
rls_non.squid.cephalopods_2100,122,0.3177083333333333
rls_pinnipeds_2100,5728.56593132019,0.48087359474963876
rls_reptiles_2100,1841.4133522510529,0.7809846518315764
rls_sharks_2100,371748.63143229485,0.30001400153874724
rls_tunas.n.billfishes_2100,163043.47569990158,0.31409329874967873
phys_seamounts_0to200m,142,0.5358490566037736
phys_seamounts_gt200to800m,4979,0.30010246519197153
phys_seamounts_gt800m,56,0.48695652173913045
phys_vents,702,1
scapes_hetero,119040.53938770294,0.30001748897870073
