feature,absolute_held,relative_held
_area_km2,212198694.92354414,0.26016683428977105
bio_vgpm,7607843.320598602,0.3000264152707719
nspp_bivalves_2100,26557.00243294239,0.48284271835123393
nspp_bivalves,17981.883744478226,0.6397698829849546
nspp_chitons_2100,3381.381873011589,0.4169192086111716
nspp_chitons,1875.225712776184,0.5516431073114717
nspp_coastal.fishes_2100,5692523.828926563,0.3494059533097247
nspp_coastal.fishes,6548725.997069597,0.3121462127620629
nspp_corals_2100,93735.4418489933,0.3452179365975477
nspp_corals,32542.432886719704,0.5404020316992312
nspp_crustaceans_2100,570734.800822854,0.3448614219161884
nspp_crustaceans,509371.21423232555,0.34365418806436815
nspp_echinoderms_2100,49006.53369516134,0.4444169075096785
nspp_echinoderms,39142.59403127432,0.4821513699363747
nspp_euphausiids_2100,3935.2309467196465,0.8583292587498899
nspp_euphausiids,4710.823566675186,0.30007780991177346
nspp_gastropods_2100,48780.808098077774,0.5334790088392655
nspp_gastropods,40916.407031297684,0.5768171873821958
nspp_hydrozoans_2100,29702.42781305313,0.3611253774342195
nspp_hydrozoans,18523.853945612907,0.5520511700834563
nspp_non.squid.cephalopods_2100,206906.37505221367,0.35326512661965975
nspp_non.squid.cephalopods,203401.18801820278,0.348597066624576
nspp_pinnipeds_2100,15781.124690413475,0.3004304490697414
nspp_pinnipeds,11170.626747131348,0.3000406667894733
nspp_reptiles_2100,5084.499138593674,0.3494402497933427
nspp_reptiles,11834.516237735748,0.47042856345994916
nspp_sea.spiders_2100,75796.21210217476,0.33147458071450064
nspp_sea.spiders,69200.94658756256,0.33668299322937467
nspp_seagrasses_2100,74.85394155979156,0.9868167694461631
nspp_seagrasses,48.83192276954651,1
nspp_sharks_2100,311758.12158060074,0.3555259843855165
nspp_sharks,258429.30098164082,0.34982532626878327
nspp_sponges_2100,9616.75463360548,0.4362927168467047
nspp_sponges,5083.609645187855,0.6685623437287458
nspp_tunas.n.billfishes_2100,189676.36539053917,0.30955160661431447
nspp_tunas.n.billfishes,190202.5835559368,0.3000009819232999
nspp_tunicates_2100,177887.058724463,0.33211772471052725
nspp_tunicates,171895.9468204379,0.33423288160634673
nspp_worms_2100,48209.944696068764,0.5105623731102596
nspp_worms,47673.39464378357,0.5474193268104824
rls_bivalves_2100,103.7595386505127,1
rls_bivalves,87.7595386505127,1
rls_coastal.fishes_2100,54937.08408808708,0.36122062903303886
rls_coastal.fishes,64210.24579334259,0.32005065541878536
rls_corals_2100,67737.62365710735,0.3110030341649775
rls_corals,2635.47558927536,1
rls_echinoderms_2100,6905.237728834152,0.31824318791487644
rls_echinoderms,416.4131534099579,1
rls_non.squid.cephalopods_2100,276,0.71875
rls_non.squid.cephalopods,272,0.7431693989071039
rls_pinnipeds_2100,4110.831134557724,0.3450759175652785
rls_pinnipeds,1886.5234208106995,0.8053381255662376
rls_reptiles_2100,2169.542162656784,0.9201514306742287
rls_reptiles,23631.73563504219,0.47001044126763447
rls_sharks_2100,433607.48996400833,0.3499362396037948
rls_sharks,331361.2700588703,0.3486048342843559
rls_tunas.n.billfishes_2100,162808.3976237774,0.3136404351924182
rls_tunas.n.billfishes,148971.67468070984,0.30000768965060565
mcp_2004,15051.75694888641,0.3000113613139476
mcp_2050,15075.369898232857,0.3000115666347483
phys_seamounts_0to200m,178,0.6716981132075471
phys_seamounts_gt200to800m,4980,0.3001627388343078
phys_seamounts_gt800m,86,0.7478260869565218
phys_vents,702,1
scapes_hetero,119041.20934140682,0.30001917746086826
