feature,absolute_held,relative_held
_area_km2,212198694.92354414,0.23678636928355914
bio_vgpm,7607343.546562195,0.30000670595155093
groups01_nspp_bivalves,17706.21260434389,0.6299618953696288
groups01_nspp_bony.fishes,6294245.037874699,0.3000163316724754
groups01_nspp_cetaceans,313202.8762899637,0.31291359142587505
groups01_nspp_chitons,1728.55781686306,0.5084971898397183
groups01_nspp_corals,31587.92610400915,0.5245514219294257
groups01_nspp_crustaceans,510718.37760436535,0.3445630700778642
groups01_nspp_echinoderms,34578.81395536661,0.4259355551661752
groups01_nspp_euphausiids,4710.596100568771,0.3000633204005286
groups01_nspp_forams,720.1709349155426,0.5858309041782586
groups01_nspp_gastropods,41723.310387432575,0.588192470750038
groups01_nspp_hydrozoans,20815.04150569439,0.6203335468036205
groups01_nspp_non.squid.cephalopods,196018.74149668217,0.335944735401788
groups01_nspp_other,109415.30482572317,0.3742533223323074
groups01_nspp_pinnipeds,11170.223744034767,0.3000298422117165
groups01_nspp_reptiles,12212.06284070015,0.4854362496639193
groups01_nspp_sea.spiders,86989.61194992065,0.4232300911390274
groups01_nspp_seagrasses,48.83192276954651,1
groups01_nspp_sharks.n.rays,257556.27586734295,0.34864354736720354
groups01_nspp_sponges,5265.045091807842,0.692423520312702
groups01_nspp_tunas.n.billfishes,190210.1432905197,0.3000129056719449
groups01_nspp_tunicates,199701.12569361925,0.38829701301993486
groups01_nspp_worms,94544.27655827999,0.4737439124324912
groups01_2100_nspp_bivalves,25372.712358653545,0.4613107009396342
groups01_2100_nspp_bony.fishes,5566335.499055862,0.34166053932111984
groups01_2100_nspp_cetaceans,326591.9663528204,0.3224861560843603
groups01_2100_nspp_chitons,3035.569231748581,0.3742810393248663
groups01_2100_nspp_corals,81487.3936753273,0.3001096420778292
groups01_2100_nspp_crustaceans,558902.0171740055,0.3377115677483941
groups01_2100_nspp_echinoderms,42831.395734131336,0.3884175231590661
groups01_2100_nspp_euphausiids,4020.527147114277,0.8769335606193732
groups01_2100_nspp_forams,1100.6915304660797,0.4466661125553186
groups01_2100_nspp_gastropods,49811.1911059618,0.5447475328183189
groups01_2100_nspp_hydrozoans,32874.725343465805,0.39969451899444147
groups01_2100_nspp_non.squid.cephalopods,198288.47483062744,0.3385512077652698
groups01_2100_nspp_other,121695.8877133131,0.3709818695393436
groups01_2100_nspp_pinnipeds,16273.29681622982,0.3098000913277762
groups01_2100_nspp_reptiles,4369.275813937187,0.30028539492692696
groups01_2100_nspp_sea.spiders,95418.34507191181,0.4172867620686286
groups01_2100_nspp_seagrasses,75.85394155979156,1
groups01_2100_nspp_sharks.n.rays,290377.26243519783,0.3311434568153015
groups01_2100_nspp_sponges,9533.099556863308,0.4324974551289605
groups01_2100_nspp_tunas.n.billfishes,183831.66281688213,0.3000130588456814
groups01_2100_nspp_tunicates,206573.52211147547,0.38567576888980426
groups01_2100_nspp_worms,96652.16043245792,0.46189047202357203
rls_all_now,707443.5669132471,0.3136906297802771
rls_all_future,826727.5125797987,0.30211209465736777
phys_seamounts_0to200m,196,0.7396226415094339
phys_seamounts_gt200to800m,5126,0.3089626906153939
phys_seamounts_gt800m,90,0.782608695652174
phys_vents,497,0.707977207977208
scapes_hetero,119042.65421414375,0.30002281896898525
