feature,absolute_held,relative_held
bio_vgpm,8188555.505468838,0.30646885593762796
nspp_bivalves_2100,19349,0.3897629071571017
nspp_chitons_2100,2056,0.3001021748649832
nspp_coastal.fishes_2100,4735258,0.30749718462216014
nspp_corals_2100,71881,0.32498869698887783
nspp_crustaceans_2100,491504,0.31355516994998467
nspp_echinoderms_2100,36803,0.36562056050626374
nspp_euphausiids_2100,1803,0.4818278995189738
nspp_gastropods_2100,33929,0.41582714415275635
nspp_hydrozoans_2100,27489,0.36010532383148186
nspp_non.squid.cephalopods_2100,175574,0.3134225779789819
nspp_pinnipeds_2100,32591,0.4482080479687543
nspp_reptiles_2100,2853,0.30003154905878643
nspp_sea.spiders_2100,94799,0.3624105910642674
nspp_seagrasses_2100,39,0.78
nspp_sharks_2100,249084,0.30886516072312076
nspp_sponges_2100,6564,0.3635759388501163
nspp_tunas.n.billfishes_2100,168717,0.30002293957289716
nspp_tunicates_2100,203882,0.3439432637513538
nspp_worms_2100,34162,0.36765354771360004
rls_bivalves_2100,66,0.8461538461538461
rls_coastal.fishes_2100,47134,0.32256165996003394
rls_corals_2100,45075,0.3082072356050298
rls_echinoderms_2100,4369,0.317191810657761
rls_non.squid.cephalopods_2100,138,0.30131004366812225
rls_pinnipeds_2100,4118,0.30003642987249546
rls_reptiles_2100,1003,0.571835803876853
rls_sharks_2100,339981,0.30000635343076437
rls_tunas.n.billfishes_2100,147584,0.3012453231492122
phys_seamounts,5256,0.30817941952506595
phys_vents,86,0.3115942028985507
phys_scape.1,14016590.93959545,0.3000015658356569
phys_scape.2,16126298.349280339,0.300000700551538
phys_scape.3,10921140.286080236,0.3000012192866418
phys_scape.4,9222952.191924376,0.30000160615579213
phys_scape.5,6824977.30272428,0.30000573793641205
phys_scape.6,1603640.1437255163,0.3000756957011645
phys_scape.7,259259.20592379206,0.3015164236985215
phys_scape.8,905164.6996761229,0.3000440552504443
phys_scape.9,411514.54971342627,0.30003970454034395
phys_scape.10,11346.250604319242,0.3191446465769365
phys_scape.11,1964605.5496584687,0.30007923195837677
sea_Arctic,3332,0.30004502476362
sea_Indian,5815,0.3000980543943851
sea_N_Atlantic,2688,0.3000669792364367
sea_N_Pacific,5079,0.30003544423440454
sea_S_Atlantic,3648,0.300049350222076
sea_S_Pacific,6271,0.30001913692469623
sea_Southern,4420,0.4702627939142462
