feature,absolute_held,relative_held
_area_km2,212198694.92354414,0.25298467727622315
bio_vgpm,7662370.89981842,0.3021767900139557
groups05_nspp_bony.fishes,6294430.092897415,0.300025152353707
groups05_nspp_cephalopods,188481.94028687477,0.32302786495933855
groups05_nspp_corals,24699.200488746166,0.41015673818634735
groups05_nspp_invertebrates,948104.6535580158,0.34776227831399775
groups05_nspp_marine.mammals,311279.89618098736,0.30002133266542524
groups05_nspp_other,59745.49205374718,0.300029708248074
groups05_nspp_seagrasses,15.264223098754883,0.3125869765725106
groups05_nspp_sharks.n.rays,231488.2202862501,0.313356271449925
groups05_nspp_tunas.n.billfishes,190207.81984889507,0.3000092409753051
groups05_rli_bony.fishes,40970.02426624298,0.32187492545821106
groups05_rli_cephalopods,268,0.73224043715847
groups05_rli_corals,62.027082324028015,0.5513473133556361
groups05_rli_invertebrates,43.02471971511841,0.5494241154595806
groups05_rli_marine.mammals,51033.20751810074,0.30000908768769735
groups05_rli_other,13639.490690350533,0.3000352403960741
groups05_rli_sharks.n.rays,37384.81769025326,0.30000692861650624
groups05_rli_tunas.n.billfishes,39166.99447226524,0.3000144638435758
phys_seamounts_0to200m,152,0.5735849056603773
phys_seamounts_gt200to800m,5032,0.3032969682357905
phys_seamounts_gt800m,53,0.4608695652173913
phys_vents,368,0.5242165242165242
scapes_hetero,119043.97746562958,0.3000261539554538
