feature,absolute_held,relative_held
_area_km2,212010386.31419328,0.3242420653718616
bio_vgpm,9989455.240203857,0.39394876049975913
nspp_bivalves,8726.47110915184,0.31047544738398364
nspp_chitons,1640.5768743753433,0.48261546255353277
nspp_coastal.fishes,6359533.061902881,0.3031282971827494
nspp_corals,21498.18124639988,0.3570003774405532
nspp_crustaceans,494418.8137089014,0.33356634855181394
nspp_echinoderms,24357.825592577457,0.3000352753511714
nspp_euphausiids,5076.646566152573,0.3233806067465119
nspp_gastropods,21940.636906683445,0.30930713100508916
nspp_hydrozoans,14441.306169509888,0.43038235951431136
nspp_non.squid.cephalopods,212208.17471659184,0.3636908316058569
nspp_pinnipeds,15664.198736190796,0.420737057993318
nspp_reptiles,7548.4955971241,0.3000568733613268
nspp_sea.spiders,88865.3473675251,0.4323560965774981
nspp_seagrasses,16.405290484428406,0.3359542191662251
nspp_sharks,247631.41955971718,0.3352086695000354
nspp_sponges,2828.586524784565,0.37199678347443915
nspp_tunas.n.billfishes,190201.97318422794,0.3000000192018238
nspp_tunicates,236217.4320884943,0.45929897983610773
nspp_worms,37895.43356072903,0.43514192526062706
rls_bivalves,29.916473627090454,0.34089141860952205
rls_coastal.fishes,82465.26931381226,0.41104130917232423
rls_corals,874.2045946121216,0.33170658008351706
rls_echinoderms,156.85484218597412,0.37668080583312136
rls_non.squid.cephalopods,110,0.3005464480874317
rls_pinnipeds,704,0.30053061316089635
rls_reptiles,15085.564771413803,0.3000360644044173
rls_sharks,311601.8888890743,0.3278172033188107
rls_tunas.n.billfishes,197083.1220933199,0.3968972776540945
phys_seamounts_0to200m,109,0.41132075471698115
phys_seamounts_gt200to800m,6207,0.37411849798083296
phys_seamounts_gt800m,35,0.30434782608695654
phys_vents,368,0.5242165242165242
scapes_hetero,136228.55324691534,0.3433363850883458
