feature,absolute_held,relative_held
_area_km2,51179769.240034595,0.24118795480092292
bio_vgpm,7607175.771781921,0.30000008950799695
nspp_bivalves,14986.843843996525,0.5332106173432309
nspp_bony.fishes,6294095.389149666,0.30000919863884645
nspp_cephalopods,29953.688369631767,0.4435472303436761
nspp_cetaceans,309326.20704197884,0.3090405028018927
nspp_chitons,1561.0924211740494,0.45923318358403126
nspp_corals,28254.72888201475,0.4692001039413017
nspp_crustaceans,496226.39056897163,0.3347858547603608
nspp_echinoderms,33153.71565145254,0.40838145287604133
nspp_euphausiids,4713.734663963318,0.30026324578860025
nspp_forams,796.3918585777283,0.6478336461127923
nspp_gastropods,36104.97689443827,0.5089882698355916
nspp_hydrozoans,18083.79153048992,0.5389363521901781
nspp_jellyfish,7987.510325431824,0.38729981743911873
nspp_other,97623.01841771603,0.3584143411326163
nspp_pinnipeds,11169.499449849129,0.300010387823406
nspp_reptiles,11100.779762864113,0.44126213291913724
nspp_sea.spiders,86758.88286149502,0.42210752614610586
nspp_seagrasses,31.351778626441956,0.6420344899053237
nspp_sharks.n.rays,249209.47246801853,0.33734481610345457
nspp_sponges,4764.611531674862,0.6266098451498715
nspp_tunas.n.billfishes,190207.01233386993,0.300007967305432
nspp_tunicates,200689.82479041815,0.38950986032150675
nspp_worms,89923.77276933193,0.4505914211123416
rls_all,703868.492806673,0.3121212892223305
phys_seamounts_gt200to800m,190,0.71698113207547165
phys_seamounts_gt800m,5330,0.32125851365198
phys_seamounts_0to200m,84,0.7304347826086957
phys_vents,118,0.4199288256227758
scapes_hetero,119036.10562944412,0.30000631459200533
