feature,absolute_held,relative_held
bio_vgpm,8015940.67176611,0.30000848932383284
nspp_bivalves_2100,19064,0.38402191648369355
nspp_chitons_2100,2631,0.38403152824405196
nspp_coastal.fishes_2100,5975587,0.38804140745124766
nspp_corals_2100,98076,0.44342164752690116
nspp_crustaceans_2100,568009,0.3623615647647239
nspp_echinoderms_2100,42437,0.42159171062696826
nspp_euphausiids_2100,1476,0.39444147514698025
nspp_gastropods_2100,32303,0.39589920827511826
nspp_hydrozoans_2100,26682,0.3495336407461748
nspp_non.squid.cephalopods_2100,209189,0.3734297542053222
nspp_pinnipeds_2100,21815,0.30001100200786646
nspp_reptiles_2100,4402,0.46292985592596486
nspp_sea.spiders_2100,85291,0.32606210743217157
nspp_seagrasses_2100,32,0.64
nspp_sharks_2100,328343,0.40714663915511085
nspp_sponges_2100,7477,0.4141464495402681
nspp_tunas.n.billfishes_2100,201355,0.3580618372641803
nspp_tunicates_2100,188320,0.3176906025527263
nspp_worms_2100,35269,0.37956714988323165
rls_bivalves_2100,52,0.6666666666666666
rls_coastal.fishes_2100,58320,0.3991130820399113
rls_corals_2100,69371,0.47433486724695556
rls_echinoderms_2100,6457,0.4687817627413968
rls_non.squid.cephalopods_2100,138,0.30131004366812225
rls_pinnipeds_2100,5110,0.3723132969034608
rls_reptiles_2100,986,0.5621436716077537
rls_sharks_2100,463751,0.4092235931121751
rls_tunas.n.billfishes_2100,168544,0.3440284295374893
phys_seamounts,5117,0.30002931691586043
phys_vents,95,0.3442028985507246
phys_scape.1,14016643.920715308,0.30000269980746114
phys_scape.2,16126979.57289349,0.3000133734884235
phys_scape.3,10921131.519176438,0.3000009784618049
phys_scape.4,9223075.211189888,0.30000560769201107
phys_scape.5,6824942.281438491,0.30000419850467175
phys_scape.6,1603239.3392456633,0.30000069652906053
phys_scape.7,260117.1928592908,0.3025142557772315
phys_scape.8,905041.7128228203,0.3000032875600775
phys_scape.9,412092.6359505524,0.3004611934619555
phys_scape.10,11371.402840225941,0.3198521227044254
phys_scape.11,1964185.195212679,0.3000150258691367
