feature,absolute_held,relative_held
bio_vgpm,16986888.876952726,0.6357595544882676
nspp_bivalves_2100,28367,0.5714199383598896
nspp_bivalves,17770,0.6296283173298374
nspp_chitons_2100,4056,0.5920303605313093
nspp_chitons,2683,0.7187248861505492
nspp_coastal.fishes_2100,8083176,0.5249035771240793
nspp_coastal.fishes,10475524,0.5311131295498845
nspp_corals_2100,102783,0.46470295686770957
nspp_corals,33200,0.5794369687767248
nspp_crustaceans_2100,842323,0.5373602888639379
nspp_crustaceans,798737,0.5580550930735765
nspp_echinoderms_2100,57632,0.5725469158247152
nspp_echinoderms,47086,0.6137302694177604
nspp_euphausiids_2100,1567,0.41876002137894175
nspp_euphausiids,18275,0.9081647865626398
nspp_gastropods_2100,47010,0.5761453048018237
nspp_gastropods,36683,0.5831491932278833
nspp_hydrozoans_2100,46226,0.6055596311045902
nspp_hydrozoans,22368,0.6526039387308534
nspp_non.squid.cephalopods_2100,311080,0.5553185298375709
nspp_non.squid.cephalopods,310984,0.5560673466176491
nspp_pinnipeds_2100,68485,0.9418406359160547
nspp_pinnipeds,51610,0.9668052901727174
nspp_reptiles_2100,4056,0.42654327479230203
nspp_reptiles,8134,0.38447721686519193
nspp_sea.spiders_2100,190494,0.7282465335520053
nspp_sea.spiders,175363,0.7346062492407327
nspp_seagrasses_2100,15,0.3
nspp_seagrasses,9,0.3
nspp_sharks_2100,389652,0.48317004547094733
nspp_sharks,333471,0.4859534843053248
nspp_sponges_2100,9721,0.5384402348510026
nspp_sponges,4745,0.6270648870093829
nspp_tunas.n.billfishes_2100,284324,0.5056024127451556
nspp_tunas.n.billfishes,283602,0.49069570678888985
nspp_tunicates_2100,430915,0.7269416206404421
nspp_tunicates,411371,0.7246874410951761
nspp_worms_2100,58115,0.6254372087517085
nspp_worms,53282,0.6195581395348837
rls_bivalves_2100,34,0.4358974358974359
rls_bivalves,32,0.5333333333333333
rls_coastal.fishes_2100,81837,0.5600517368810052
rls_coastal.fishes,109923,0.5664557288177517
rls_corals_2100,61539,0.4207823643238586
rls_corals,731,0.4001094690749863
rls_echinoderms_2100,5910,0.42906926092638303
rls_echinoderms,114,0.41911764705882354
rls_non.squid.cephalopods_2100,158,0.34497816593886466
rls_non.squid.cephalopods,134,0.319047619047619
rls_pinnipeds_2100,11211,0.8168306010928962
rls_pinnipeds,2760,0.8641202254226675
rls_reptiles_2100,702,0.40022805017103763
rls_reptiles,16248,0.3843588105883188
rls_sharks_2100,553367,0.488302628026042
rls_sharks,427142,0.48627609022830304
rls_tunas.n.billfishes_2100,275534,0.562414142919253
rls_tunas.n.billfishes,266966,0.5708658807529546
phys_seamounts,11841,0.694283201407212
phys_vents,186,0.6739130434782609
phys_scape.1,21418445.22276843,0.45842581354387657
phys_scape.2,39203246.67403721,0.7293057099263432
phys_scape.3,21083478.62609381,0.5791583231188544
phys_scape.4,24206292.68310933,0.7873755098035253
phys_scape.5,12626007.46265957,0.5550017997149748
phys_scape.6,2462386.5738757974,0.46076569430620307
phys_scape.7,600173.5811599691,0.6979971690682457
phys_scape.8,1444179.3768509147,0.47871667652798816
phys_scape.9,903879.9963816624,0.6590286716305449
phys_scape.10,11593.351230726767,0.32609503440406135
phys_scape.11,4305273.665615801,0.6575992901848443
