feature,absolute_held,relative_held
bio_vgpm,16984491.59144044,0.6356698325162036
nspp_bivalves_2100,27437,0.5526861793203472
nspp_bivalves,16816,0.5958260992807285
nspp_chitons_2100,4054,0.5917384323456429
nspp_chitons,2682,0.7184570050897402
nspp_coastal.fishes_2100,8073938,0.5243036818297703
nspp_coastal.fishes,10465694,0.5306147447374898
nspp_corals_2100,101942,0.46090062392621395
nspp_corals,32253,0.5629090528299912
nspp_crustaceans_2100,838278,0.5347797795243442
nspp_crustaceans,794551,0.5551304525227994
nspp_echinoderms_2100,56887,0.5651456899035358
nspp_echinoderms,46311,0.6036287326807523
nspp_euphausiids_2100,1504,0.40192410475681456
nspp_euphausiids,18212,0.9050340406500025
nspp_gastropods_2100,45016,0.551707233375003
nspp_gastropods,34711,0.551800333836738
nspp_hydrozoans_2100,45910,0.6014200377279396
nspp_hydrozoans,22018,0.6423924142961343
nspp_non.squid.cephalopods_2100,310786,0.5547937013440251
nspp_non.squid.cephalopods,310686,0.5555344958301743
nspp_pinnipeds_2100,68485,0.9418406359160547
nspp_pinnipeds,51610,0.9668052901727174
nspp_reptiles_2100,4001,0.4207592806814597
nspp_reptiles,8081,0.3819720173945926
nspp_sea.spiders_2100,190383,0.7278221875609281
nspp_sea.spiders,175251,0.7341370744437975
nspp_seagrasses_2100,5,0.1
nspp_seagrasses,6,0.2
nspp_sharks_2100,389107,0.4824942432813482
nspp_sharks,332991,0.485254000174871
nspp_sponges_2100,9509,0.526697684723607
nspp_sponges,4519,0.5971983613056694
nspp_tunas.n.billfishes_2100,284178,0.5053427865712807
nspp_tunas.n.billfishes,283453,0.49043790303464435
nspp_tunicates_2100,430290,0.7258872630225818
nspp_tunicates,410773,0.7236339806184412
nspp_worms_2100,57759,0.6216059148290447
nspp_worms,52939,0.6155697674418604
rls_bivalves_2100,8,0.10256410256410256
rls_bivalves,6,0.1
rls_coastal.fishes_2100,81745,0.5594221346253867
rls_coastal.fishes,109825,0.5659507147495028
rls_corals_2100,61212,0.4185464515996691
rls_corals,326,0.17843459222769567
rls_echinoderms_2100,5848,0.42456802671700306
rls_echinoderms,48,0.17647058823529413
rls_non.squid.cephalopods_2100,158,0.34497816593886466
rls_non.squid.cephalopods,134,0.319047619047619
rls_pinnipeds_2100,11211,0.8168306010928962
rls_pinnipeds,2760,0.8641202254226675
rls_reptiles_2100,598,0.3409350057012543
rls_reptiles,16172,0.38256097272490713
rls_sharks_2100,552852,0.4878481812422016
rls_sharks,426721,0.48579680644448847
rls_tunas.n.billfishes_2100,275454,0.5622508486200611
rls_tunas.n.billfishes,266908,0.5707418566409566
phys_seamounts,11841,0.694283201407212
phys_vents,186,0.6739130434782609
phys_scape.1,21418445.22276843,0.45842581354387657
phys_scape.2,39203246.67403721,0.7293057099263432
phys_scape.3,21083478.62609381,0.5791583231188544
phys_scape.4,24206292.68310933,0.7873755098035253
phys_scape.5,12626007.46265957,0.5550017997149748
phys_scape.6,2458688.1234721476,0.46007363438101734
phys_scape.7,600173.5811599691,0.6979971690682457
phys_scape.8,1427725.6703054714,0.4732626007807103
phys_scape.9,903879.9963816624,0.6590286716305449
phys_scape.10,9061.659635934624,0.2548842135401046
phys_scape.11,4305273.665615801,0.6575992901848443
