feature,absolute_held,relative_held
nspp_bivalves,8,0.13333333333333333
nspp_chitons,602,0.1601489757914339
nspp_coastal.fishes,23305,0.1198323735088441
nspp_corals,197,0.10782703886152162
nspp_echinoderms,32,0.11764705882352941
nspp_euphausiids,3482,0.17239330626794733
nspp_hydrozoans,7582,0.21870943548619726
nspp_non.squid.cephalopods,42,0.1
nspp_pinnipeds,320,0.10018785222291797
nspp_reptiles,4240,0.10003775009437524
nspp_sea.spiders,45813,0.19057701827439463
nspp_seagrasses,3,0.1
nspp_sharks,87992,0.1000001136468243
nspp_sponges,1294,0.16703239963856978
nspp_tunas.n.billfishes,61996,0.13227873354143685
nspp_tunicates,94551,0.16562063728675802
nspp_worms,17582,0.2032554160597443
rls_bivalves,8,0.13333333333333333
rls_coastal.fishes,23305,0.1198323735088441
rls_corals,197,0.10782703886152162
rls_echinoderms,32,0.11764705882352941
rls_non.squid.cephalopods,42,0.1
rls_pinnipeds,320,0.10018785222291797
rls_reptiles,4240,0.10003775009437524
rls_sharks,87992,0.1000001136468243
rls_tunas.n.billfishes,61996,0.13227873354143685
seamounts_count,2014,0.11765393153405772
vents_count,30,0.10752688172043011
benthscape_1,4672186.889356993,0.10000030597485497
benthscape_2,5929830.95818535,0.11016042594900047
benthscape_3,3641321.9411535226,0.10000016820283202
benthscape_4,3269389.421594132,0.10571444362401253
benthscape_5,2277487.801415299,0.10000074830730964
benthscape_6,537187.5272438395,0.10000739242877281
benthscape_7,85998.14120258414,0.10001516392727666
benthscape_8,301938.6793521211,0.10001279518421861
benthscape_9,163447.240134192,0.11732389988928715
benthscape_10,5545.247801458698,0.15597541527104772
benthscape_11,857889.4511670878,0.12974173998386274
