feature,absolute_held,relative_held
nspp_all_2100,2677386,0.12138038151104269
nspp_bivalves_2100,9257,0.1855928465455712
nspp_bivalves,6236,0.21933804649854033
nspp_chitons_2100,691,0.1004068584713746
nspp_chitons,472,0.1255653099228518
nspp_coastal.fishes_2100,1792596,0.11615941363146656
nspp_coastal.fishes,1976505,0.10000560616905271
nspp_corals_2100,26949,0.12165438039734382
nspp_corals,11605,0.20148618851676303
nspp_crustaceans_2100,197088,0.12537332801529763
nspp_crustaceans,189038,0.13168112545922397
nspp_echinoderms_2100,19201,0.18983449666818264
nspp_echinoderms,16319,0.21143256934817253
nspp_euphausiids_2100,1123,0.29560410634377465
nspp_euphausiids,3310,0.16387761164471729
nspp_gastropods_2100,14987,0.1828084213607865
nspp_gastropods,11688,0.18472918082533862
nspp_hydrozoans_2100,10899,0.14175532606716437
nspp_hydrozoans,7718,0.2226324746877434
nspp_na_2100,214686,0.1407731817141613
nspp_non.squid.cephalopods_2100,64045,0.11404917764212295
nspp_non.squid.cephalopods,62801,0.11203041184791936
nspp_pinnipeds_2100,15284,0.2093727311333032
nspp_pinnipeds,12474,0.23271085573568642
nspp_reptiles_2100,1185,0.12443557702404705
nspp_reptiles,2445,0.11527037857715336
nspp_sea.spiders_2100,43627,0.16567676568208228
nspp_sea.spiders,43586,0.18131294432819864
nspp_seagrasses_2100,36,0.72
nspp_seagrasses,19,0.6333333333333333
nspp_sharks_2100,93816,0.1160926751580534
nspp_sharks,89309,0.12987453028840001
nspp_sponges_2100,3280,0.17956859739406547
nspp_sponges,2005,0.2588098618820188
nspp_tunas.n.billfishes_2100,58823,0.10445834310027631
nspp_tunas.n.billfishes,57887,0.10000863826405446
nspp_tunicates_2100,90858,0.1524171551079156
nspp_tunicates,86143,0.15089273046073756
nspp_worms_2100,18955,0.20297474996252116
nspp_worms,18248,0.2109546600078611
rls_all_2100,295389,0.11199226261609109
rls_bivalves_2100,64,0.8205128205128205
rls_bivalves,50,0.8333333333333334
rls_coastal.fishes_2100,17430,0.11904436673587586
rls_coastal.fishes,21054,0.1082579185520362
rls_corals_2100,14829,0.1013768492438951
rls_corals,1255,0.6869184455391352
rls_echinoderms_2100,1379,0.10011616088282271
rls_echinoderms,187,0.6875
rls_na_2100,86088,0.12492109719519574
rls_non.squid.cephalopods_2100,46,0.10043668122270742
rls_non.squid.cephalopods,44,0.10476190476190476
rls_pinnipeds_2100,1380,0.1002688367361767
rls_pinnipeds,320,0.10018785222291797
rls_reptiles_2100,796,0.4461883408071749
rls_reptiles,4852,0.11447716119290298
rls_sharks_2100,113541,0.10002052543347865
rls_sharks,101487,0.11533675258745407
rls_tunas.n.billfishes_2100,59836,0.12193536423085309
rls_tunas.n.billfishes,51533,0.10995419019922036
seamounts_count,1712,0.10001168360789812
vents_count,28,0.1003584229390681
benthscape_1,4672182.135164431,0.10000020421935543
benthscape_2,5382909.088709698,0.1000000779513741
benthscape_3,3641361.864136383,0.10000126459174398
benthscape_4,3092911.3787932377,0.10000809430284338
benthscape_5,2277495.5000412166,0.10000108634132773
benthscape_6,537305.8733418091,0.1000294247434894
benthscape_7,86162.73836660422,0.10020658913846411
benthscape_8,302158.9110645225,0.10008574373520499
benthscape_9,139490.36913737352,0.10012744229120431
benthscape_10,5313.833289359878,0.14946624274770884
benthscape_11,661258.1329589476,0.100004471009476
