feature,absolute_held,relative_held
nspp_all_2100,2658354,0.12051755806275463
nspp_bivalves_2100,8887,0.17817474638117006
nspp_bivalves,6872,0.24170799479441454
nspp_chitons_2100,845,0.12278407439697762
nspp_chitons,533,0.1417930300611865
nspp_coastal.fishes_2100,1847934,0.11974529111392111
nspp_coastal.fishes,1976433,0.10000196317111232
nspp_corals_2100,26033,0.1175193322529241
nspp_corals,11130,0.19323923120995884
nspp_crustaceans_2100,180058,0.11454005670450997
nspp_crustaceans,174294,0.12141066918180463
nspp_echinoderms_2100,14933,0.14763806774365767
nspp_echinoderms,12696,0.16449218092066906
nspp_euphausiids_2100,1088,0.28639115556725453
nspp_euphausiids,4002,0.19813842954747996
nspp_gastropods_2100,14688,0.17916127930521333
nspp_gastropods,13102,0.20707749205797285
nspp_hydrozoans_2100,10070,0.13097312904820124
nspp_hydrozoans,7240,0.208844145729368
nspp_na_2100,200049,0.13117545731317484
nspp_non.squid.cephalopods_2100,59244,0.1054997186389247
nspp_non.squid.cephalopods,59254,0.10570293504301864
nspp_pinnipeds_2100,11835,0.16212550856861052
nspp_pinnipeds,10125,0.18888868160364158
nspp_reptiles_2100,1093,0.11477475585424761
nspp_reptiles,3995,0.18834566969968414
nspp_sea.spiders_2100,37058,0.14073050135573395
nspp_sea.spiders,34718,0.14442304412394807
nspp_seagrasses_2100,31,0.62
nspp_seagrasses,19,0.6333333333333333
nspp_sharks_2100,92868,0.11491957189155477
nspp_sharks,84476,0.12284630687436741
nspp_sponges_2100,2949,0.16144749808387168
nspp_sponges,2308,0.2979217761714212
nspp_tunas.n.billfishes_2100,56346,0.10005966714258316
nspp_tunas.n.billfishes,57914,0.10005528488994851
nspp_tunicates_2100,76260,0.12792855057925162
nspp_tunicates,72552,0.12708600095640307
nspp_worms_2100,16085,0.17224209196239265
nspp_worms,15625,0.18063166169568334
rls_all_2100,282084,0.10694787350848352
rls_bivalves_2100,50,0.6410256410256411
rls_bivalves,50,0.8333333333333334
rls_coastal.fishes_2100,17144,0.11709102830291772
rls_coastal.fishes,19449,0.10000514191690663
rls_corals_2100,14669,0.10028302660723563
rls_corals,1249,0.6836343732895457
rls_echinoderms_2100,1448,0.10512559895455205
rls_echinoderms,186,0.6838235294117647
rls_na_2100,79542,0.11542228781131238
rls_non.squid.cephalopods_2100,46,0.10043668122270742
rls_non.squid.cephalopods,42,0.1
rls_pinnipeds_2100,1654,0.12017728692872194
rls_pinnipeds,768,0.24045084533500313
rls_reptiles_2100,650,0.36434977578475336
rls_reptiles,7937,0.18726406191015477
rls_sharks_2100,117794,0.10376707773325217
rls_sharks,99724,0.11333315907486939
rls_tunas.n.billfishes_2100,49087,0.10003077117454184
rls_tunas.n.billfishes,47010,0.10030362061718412
seamounts_count,1713,0.1000701016473887
vents_count,33,0.11827956989247312
benthscape_1,4672175.433617111,0.10000006078400099
benthscape_2,5382954.744785482,0.10000092611935578
benthscape_3,3641334.711758933,0.10000051891686108
benthscape_4,3092669.087861298,0.10000025991918264
benthscape_5,2277482.509036844,0.10000051592766505
benthscape_6,537209.8401178315,0.10001154638289937
benthscape_7,85989.86820740948,0.10000554249875515
benthscape_8,303015.43117104145,0.10036945356055181
benthscape_9,139528.0196971982,0.10015446820187751
benthscape_10,5313.833289359878,0.14946624274770884
benthscape_11,661238.3892354649,0.1000014850944086
Arctic,1111,0.10004502476362
Indian,1943,0.10004119040263619
N_Atlantic,897,0.10013395847287342
N_Pacific,1694,0.10007088846880907
S_Atlantic,1216,0.10001645007402533
S_Pacific,2092,0.1000861161611329
Southern,1940,0.20640493669539312
