am_2050,am_2100,am_layer,am_param,bo_layer,am_label,am_units,has_future
,,DepthMax,,BO_bathymin,Depth Maximum,m,F
,,DepthMean,Depth (m),BO_bathymean,Depth Mean,m,F
,,DepthMin,,BO_bathymin,Depth Minimum,m,F
IceCon2050c,IceCon2100c,IceConAnn,Sea Ice Concentration (% cover),BO2_icethickmean_ss,Sea Ice Concentration: Mean,,T
,,LandDist,Distance to Land (km),MS_biogeo05_dist_shore_5m,Distance to Land,km,F
PrimProd2050c,PrimProd2100c,PrimProdMean,Primary Production (mgCám-_áday -1),BO2_chlomean_ss,Primary Productivity: Mean,mgCám-_áday -1,T
SalinityB2050c,SalinityB2100c,SalinityBMean,Salinity (psu) (bottom),BO2_salinitymean_bdmax,Salinity: Bottom Mean,psu,T
,,SalinityMax,,BO2_salinitymax_bdmin,Salinity: Surface Maximum,psu,T
Salinity2050c,Salinity2100c,SalinityMean,Salinity (psu) (surface),BO2_salinitymean_bdmin,Salinity: Surface Mean,psu,T
,,SalinityMin,,BO2_salinitymin_bdmin,Salinity: Surface Minimum,psu,T
SBT2050c,SBT2100c,SBTAnMean,Water temp. (¡C) (bottom),BO2_tempmean_bdmax,Temperature: Bottom Mean,¡C,T
SST2050c,SST2100c,SSTAnMean,Water temp. (¡C) (surface),BO2_tempmean_bdmin,Temperature: Surface Mean,¡C,T
,,SSTMnMax,,BO2_tempmax_bdmin,Temperature: Surface Maximum,¡C,T
,,SSTMnMin,,BO2_tempmin_bdmin,Temperature: Surface Minimum,¡C,T
