SPECIESID,SpecCode,Genus,Species,FBname,Kingdom,Phylum,Class,Order,Family,group,genus_species,iucn_category,iucn_criteria,iucn_population_trend,iucn_published_year,iucn_weight
Fis-23465,1028,Cheilopogon,furcatus,Spotfin flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,Coastal fishes,Cheilopogon furcatus,LC,NA,Unknown,2015,0
Fis-22215,6,Coryphaena,hippurus,Common dolphinfish,Animalia,Chordata,Actinopterygii,Perciformes,Coryphaenidae,Coastal fishes,Coryphaena hippurus,LC,NA,Stable,2011,0
Fis-29358,7,Coryphaena,equiselis,Pompano dolphinfish,Animalia,Chordata,Actinopterygii,Perciformes,Coryphaenidae,Coastal fishes,Coryphaena equiselis,LC,NA,Stable,2011,0
Fis-22711,35,Anguilla,anguilla,European eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Coastal fishes,Anguilla anguilla,CR,A2bd+4bd,Decreasing,2014,4
Fis-29291,40,Argyropelecus,affinis,Pacific hatchet fish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,Coastal fishes,Argyropelecus affinis,LC,NA,Unknown,2015,0
Fis-139729,46,Melanolagus,bericoides,Bigscale deepsea smelt,Animalia,Chordata,Actinopterygii,Osmeriformes,Bathylagidae,Coastal fishes,Melanolagus bericoides,LC,NA,Unknown,2015,0
Fis-22735,89,Acanthocybium,solandri,Wahoo,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Tunas & billfishes,Acanthocybium solandri,LC,NA,Stable,2011,0
Fis-29263,99,Alepisaurus,ferox,Long snouted lancetfish,Animalia,Chordata,Actinopterygii,Aulopiformes,Alepisauridae,Coastal fishes,Alepisaurus ferox,LC,NA,Unknown,2010,0
Fis-29402,100,Gasterochisma,melampus,Butterfly kingfish,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Tunas & billfishes,Gasterochisma melampus,LC,NA,Unknown,2011,0
Fis-22777,107,Katsuwonus,pelamis,Skipjack tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Tunas & billfishes,Katsuwonus pelamis,LC,NA,Stable,2011,0
