# A tibble: 18 x 3
   feature           rel_all rel_each
   <chr>               <dbl>    <dbl>
 1 bio_nspp         0.0170      0.181
 2 bio_rls          0.0256      0.183
 3 fish_profit.subs 0.265       0.298
 4 fish_mcp.now     0.257       0.259
 5 fish_mcp.future  0.257       0.259
 6 phys_seamounts   0.154       0.783
 7 phys_vents       0.0411      1.   
 8 phys_scape1      0.000239    0.491
 9 phys_scape2      0.186       0.416
10 phys_scape3      0.00202     0.616
11 phys_scape4      0.144       0.629
12 phys_scape5      0.0661      0.630
13 phys_scape6      0.0269      1.000
14 phys_scape7      0.00208     1.000
15 phys_scape8      0.00503     1.000
16 phys_scape9      0.176       1.000
17 phys_scape10     0           1    
18 phys_scape11     0.101       0.984
